Definition: ,Percentage of live births in the five (or three) years preceding the survey whose birth weight was less than 2.5 kg,,,,,,
Denominator,Live births in the five (or three) years preceding the survey with a reported birth weight,,,,,,
,,,,,,,
Average:,0.089625952,,National Weighted Average,,8.7,Statcompiler,9
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthweightreported,lowbirthweight,,,,,
241,1,0,0,,,,
242,3,0,0,,,,
243,2,1,0.5,,,,
244,1,0,0,,,,
245,0,0,.,,,,
246,3,1,0.333333333,,,,
247,0,0,.,,,,
248,0,0,.,,,,
249,2,0,0,,,,
250,3,0,0,,,,
251,1,0,0,,,,
252,5,1,0.2,,,,
253,1,0,0,,,,
254,5,3,0.6,,,,
255,0,0,.,,,,
256,0,0,.,,,,
257,0,0,.,,,,
258,4,0,0,,,,
259,1,0,0,,,,
260,1,0,0,,,,
261,7,2,0.285714286,,,,
262,7,2,0.285714286,,,,
263,4,2,0.5,,,,
264,4,2,0.5,,,,
265,1,1,1,,,,
266,5,3,0.6,,,,
267,1,0,0,,,,
268,0,0,.,,,,
269,1,0,0,,,,
270,2,0,0,,,,
271,1,0,0,,,,
272,0,0,.,,,,
273,0,0,.,,,,
274,5,1,0.2,,,,
275,1,1,1,,,,
276,1,0,0,,,,
277,1,0,0,,,,
278,3,0,0,,,,
279,0,0,.,,,,
280,4,0,0,,,,
281,3,0,0,,,,
282,4,0,0,,,,
283,0,0,.,,,,
284,5,0,0,,,,
285,3,0,0,,,,
286,0,0,.,,,,
287,2,0,0,,,,
288,0,0,.,,,,
289,6,1,0.166666667,,,,
290,4,4,1,,,,
291,1,0,0,,,,
292,1,0,0,,,,
293,1,0,0,,,,
294,2,0,0,,,,
295,7,0,0,,,,
296,1,0,0,,,,
297,1,0,0,,,,
298,1,0,0,,,,
299,1,0,0,,,,
300,5,1,0.2,,,,
301,9,0,0,,,,
302,3,0,0,,,,
303,3,0,0,,,,
304,5,1,0.2,,,,
305,5,0,0,,,,
307,0,0,.,,,,
308,4,1,0.25,,,,
309,2,1,0.5,,,,
310,4,0,0,,,,
311,1,0,0,,,,
312,0,0,.,,,,
313,4,0,0,,,,
314,2,0,0,,,,
315,2,0,0,,,,
316,3,0,0,,,,
317,4,1,0.25,,,,
318,2,0,0,,,,
319,1,0,0,,,,
320,2,0,0,,,,
321,1,0,0,,,,
322,0,0,.,,,,
323,2,0,0,,,,
324,3,0,0,,,,
325,4,0,0,,,,
326,3,0,0,,,,
327,2,0,0,,,,
328,0,0,.,,,,
329,5,0,0,,,,
330,2,0,0,,,,
331,6,2,0.333333333,,,,
332,6,0,0,,,,
333,3,0,0,,,,
334,4,0,0,,,,
335,5,0,0,,,,
336,3,0,0,,,,
337,1,0,0,,,,
338,0,0,.,,,,
339,2,0,0,,,,
340,0,0,.,,,,
341,2,0,0,,,,
342,3,0,0,,,,
343,1,0,0,,,,
344,9,1,0.111111111,,,,
345,6,2,0.333333333,,,,
346,6,2,0.333333333,,,,
347,5,0,0,,,,
348,3,0,0,,,,
349,2,0,0,,,,
350,4,0,0,,,,
351,8,1,0.125,,,,
352,0,0,.,,,,
353,6,1,0.166666667,,,,
354,5,1,0.2,,,,
355,7,1,0.142857143,,,,
356,4,0,0,,,,
357,4,1,0.25,,,,
358,1,1,1,,,,
359,0,0,.,,,,
360,3,1,0.333333333,,,,
361,3,1,0.333333333,,,,
362,4,0,0,,,,
363,4,0,0,,,,
364,1,0,0,,,,
365,3,0,0,,,,
366,1,0,0,,,,
367,7,1,0.142857143,,,,
368,4,2,0.5,,,,
369,0,0,.,,,,
370,1,0,0,,,,
371,0,0,.,,,,
372,3,2,0.666666667,,,,
373,1,0,0,,,,
374,3,0,0,,,,
375,5,0,0,,,,
376,3,1,0.333333333,,,,
377,1,0,0,,,,
378,4,1,0.25,,,,
379,1,0,0,,,,
380,1,1,1,,,,
381,3,0,0,,,,
382,4,0,0,,,,
383,3,0,0,,,,
384,2,0,0,,,,
385,0,0,.,,,,
386,0,0,.,,,,
387,2,0,0,,,,
388,3,1,0.333333333,,,,
389,5,0,0,,,,
390,1,0,0,,,,
391,4,0,0,,,,
392,3,0,0,,,,
393,3,0,0,,,,
394,1,0,0,,,,
395,2,0,0,,,,
396,2,0,0,,,,
397,0,0,.,,,,
398,2,0,0,,,,
399,0,0,.,,,,
400,4,0,0,,,,
401,3,0,0,,,,
402,1,0,0,,,,
403,1,0,0,,,,
404,3,2,0.666666667,,,,
405,2,0,0,,,,
406,3,1,0.333333333,,,,
407,2,0,0,,,,
408,3,0,0,,,,
409,1,0,0,,,,
410,5,0,0,,,,
411,1,0,0,,,,
412,0,0,.,,,,
413,2,0,0,,,,
414,2,0,0,,,,
415,1,0,0,,,,
416,7,0,0,,,,
417,3,0,0,,,,
418,1,0,0,,,,
419,2,0,0,,,,
420,3,0,0,,,,
421,1,0,0,,,,
422,2,0,0,,,,
423,2,0,0,,,,
424,2,0,0,,,,
425,2,0,0,,,,
426,5,2,0.4,,,,
427,5,0,0,,,,
428,4,0,0,,,,
429,2,0,0,,,,
430,0,0,.,,,,
431,3,0,0,,,,
432,2,0,0,,,,
433,2,0,0,,,,
434,4,0,0,,,,
435,1,0,0,,,,
436,3,2,0.666666667,,,,
437,1,0,0,,,,
438,3,1,0.333333333,,,,
439,1,0,0,,,,
440,1,0,0,,,,
441,4,0,0,,,,
442,1,0,0,,,,
443,0,0,.,,,,
444,4,0,0,,,,
445,4,0,0,,,,
446,4,1,0.25,,,,
447,2,0,0,,,,
448,0,0,.,,,,
449,4,0,0,,,,
450,3,0,0,,,,
451,0,0,.,,,,
452,1,0,0,,,,
453,1,0,0,,,,
454,2,1,0.5,,,,
455,2,1,0.5,,,,
456,2,0,0,,,,
457,1,0,0,,,,
458,2,0,0,,,,
459,1,0,0,,,,
460,4,0,0,,,,
461,4,0,0,,,,
462,5,0,0,,,,
463,0,0,.,,,,
464,2,1,0.5,,,,
465,2,1,0.5,,,,
466,2,0,0,,,,
467,2,0,0,,,,
468,0,0,.,,,,
469,2,0,0,,,,
470,2,0,0,,,,
471,2,0,0,,,,
472,2,1,0.5,,,,
473,3,0,0,,,,
474,0,0,.,,,,
475,4,1,0.25,,,,
476,5,2,0.4,,,,
477,5,0,0,,,,
478,3,0,0,,,,
479,0,0,.,,,,
480,2,0,0,,,,
481,2,0,0,,,,
482,2,0,0,,,,
483,2,0,0,,,,
484,2,0,0,,,,
485,2,0,0,,,,
486,1,0,0,,,,
487,2,0,0,,,,
488,4,0,0,,,,
489,2,0,0,,,,
490,3,0,0,,,,
491,5,0,0,,,,
492,0,0,.,,,,
493,2,0,0,,,,
494,3,0,0,,,,
495,0,0,.,,,,
496,4,0,0,,,,
497,3,0,0,,,,
498,2,0,0,,,,
499,0,0,.,,,,
500,2,0,0,,,,
501,1,0,0,,,,
502,5,0,0,,,,
503,1,0,0,,,,
504,3,2,0.666666667,,,,
505,4,0,0,,,,
506,3,2,0.666666667,,,,
507,3,0,0,,,,
508,0,0,.,,,,
509,0,0,.,,,,
510,4,1,0.25,,,,
511,3,1,0.333333333,,,,
512,2,0,0,,,,
513,1,0,0,,,,
514,3,0,0,,,,
515,3,1,0.333333333,,,,
516,2,0,0,,,,
517,2,0,0,,,,
518,3,0,0,,,,
519,2,0,0,,,,
520,0,0,.,,,,
521,2,0,0,,,,
522,2,2,1,,,,
523,3,1,0.333333333,,,,
524,1,0,0,,,,
525,3,1,0.333333333,,,,
526,2,0,0,,,,
527,3,0,0,,,,
528,4,0,0,,,,
529,7,2,0.285714286,,,,
530,2,0,0,,,,
531,1,1,1,,,,
532,1,0,0,,,,
533,1,1,1,,,,
534,0,0,.,,,,
535,3,2,0.666666667,,,,
536,2,0,0,,,,
537,3,0,0,,,,
538,0,0,.,,,,
539,3,0,0,,,,
540,2,0,0,,,,
541,1,0,0,,,,
542,2,0,0,,,,
543,2,0,0,,,,
544,1,0,0,,,,
545,2,1,0.5,,,,
546,3,0,0,,,,
547,7,0,0,,,,
548,3,0,0,,,,
549,1,0,0,,,,
550,4,1,0.25,,,,
551,1,0,0,,,,
552,0,0,.,,,,
553,4,0,0,,,,
554,2,0,0,,,,
555,2,0,0,,,,
556,1,0,0,,,,
557,1,0,0,,,,
558,1,0,0,,,,
559,6,0,0,,,,
560,3,0,0,,,,
561,6,0,0,,,,
562,2,0,0,,,,
563,4,0,0,,,,
564,4,0,0,,,,
565,3,0,0,,,,
566,1,0,0,,,,
567,3,2,0.666666667,,,,
568,1,0,0,,,,
569,4,0,0,,,,
570,4,0,0,,,,
571,6,0,0,,,,
572,0,0,.,,,,
573,6,0,0,,,,
574,4,0,0,,,,
575,1,1,1,,,,
576,4,0,0,,,,
577,1,0,0,,,,
578,0,0,.,,,,
579,1,0,0,,,,
580,4,0,0,,,,
581,3,0,0,,,,
582,4,0,0,,,,
583,2,0,0,,,,
584,0,0,.,,,,
585,0,0,.,,,,
586,0,0,.,,,,
587,2,0,0,,,,
588,4,0,0,,,,
589,7,1,0.142857143,,,,
590,0,0,.,,,,
591,4,0,0,,,,
592,4,0,0,,,,
593,6,0,0,,,,
594,3,1,0.333333333,,,,
595,3,1,0.333333333,,,,
596,1,0,0,,,,
597,3,0,0,,,,
598,1,0,0,,,,
599,2,0,0,,,,
600,2,0,0,,,,
601,2,1,0.5,,,,
602,3,0,0,,,,
603,1,0,0,,,,
604,2,0,0,,,,
605,4,0,0,,,,
606,3,0,0,,,,
607,5,0,0,,,,
608,2,0,0,,,,
609,1,0,0,,,,
610,2,0,0,,,,
611,4,0,0,,,,
612,1,0,0,,,,
613,6,2,0.333333333,,,,
614,1,0,0,,,,
615,4,0,0,,,,
616,1,0,0,,,,
617,0,0,.,,,,
618,2,0,0,,,,
619,2,1,0.5,,,,
620,3,1,0.333333333,,,,
621,3,0,0,,,,
622,4,0,0,,,,
623,1,0,0,,,,
624,3,0,0,,,,
625,5,0,0,,,,
626,0,0,.,,,,
627,1,0,0,,,,
628,2,0,0,,,,
629,2,0,0,,,,
630,1,0,0,,,,
631,0,0,.,,,,
632,2,0,0,,,,
633,3,0,0,,,,
634,2,0,0,,,,
635,4,0,0,,,,
636,2,1,0.5,,,,
637,2,1,0.5,,,,
638,1,0,0,,,,
639,1,0,0,,,,
640,1,0,0,,,,
641,4,0,0,,,,
642,0,0,.,,,,
643,0,0,.,,,,
644,3,1,0.333333333,,,,
645,1,0,0,,,,
646,2,0,0,,,,
647,3,1,0.333333333,,,,
648,7,0,0,,,,
649,2,0,0,,,,
650,1,0,0,,,,
651,0,0,.,,,,
652,5,1,0.2,,,,
653,1,0,0,,,,
654,2,0,0,,,,
655,1,1,1,,,,
656,1,1,1,,,,
657,5,2,0.4,,,,
658,2,0,0,,,,
659,0,0,.,,,,
660,0,0,.,,,,
661,5,0,0,,,,
662,2,0,0,,,,
663,2,0,0,,,,
664,1,0,0,,,,
665,2,0,0,,,,
666,1,0,0,,,,
667,0,0,.,,,,
668,2,0,0,,,,
669,3,2,0.666666667,,,,
670,5,0,0,,,,
671,2,0,0,,,,
672,2,0,0,,,,
673,2,0,0,,,,
674,1,0,0,,,,
675,3,1,0.333333333,,,,
676,2,0,0,,,,
677,1,0,0,,,,
678,3,0,0,,,,
679,3,0,0,,,,
680,1,0,0,,,,
681,1,0,0,,,,
682,5,0,0,,,,
683,2,0,0,,,,
684,1,1,1,,,,
685,5,0,0,,,,
686,3,0,0,,,,
687,2,0,0,,,,
688,3,0,0,,,,
689,6,0,0,,,,
690,2,0,0,,,,
691,2,0,0,,,,
692,3,1,0.333333333,,,,
693,4,1,0.25,,,,
694,3,1,0.333333333,,,,
695,3,0,0,,,,
696,1,1,1,,,,
697,1,0,0,,,,
698,3,0,0,,,,
699,2,1,0.5,,,,
700,4,0,0,,,,
701,1,0,0,,,,
702,4,0,0,,,,
703,4,0,0,,,,
704,3,0,0,,,,
705,2,1,0.5,,,,
706,4,1,0.25,,,,
707,1,0,0,,,,
708,2,0,0,,,,
709,2,1,0.5,,,,
710,2,0,0,,,,
711,1,0,0,,,,
712,4,0,0,,,,
713,1,0,0,,,,
714,1,0,0,,,,
715,3,0,0,,,,
716,2,0,0,,,,
717,3,1,0.333333333,,,,
718,3,0,0,,,,
719,3,0,0,,,,
720,0,0,.,,,,
721,3,0,0,,,,
722,1,0,0,,,,
723,0,0,.,,,,
724,3,0,0,,,,
725,1,0,0,,,,
726,2,0,0,,,,
727,1,0,0,,,,
728,3,0,0,,,,
729,1,1,1,,,,
730,2,0,0,,,,
731,3,0,0,,,,
732,2,0,0,,,,
733,2,0,0,,,,
734,2,0,0,,,,
735,1,0,0,,,,
736,2,0,0,,,,
737,3,0,0,,,,
738,2,0,0,,,,
739,3,2,0.666666667,,,,
740,6,0,0,,,,
741,0,0,.,,,,
742,3,1,0.333333333,,,,
743,4,0,0,,,,
744,3,0,0,,,,
745,3,0,0,,,,
746,2,0,0,,,,
747,1,0,0,,,,
748,1,0,0,,,,
749,2,0,0,,,,
750,4,0,0,,,,
751,2,0,0,,,,
752,2,0,0,,,,
753,4,0,0,,,,
754,1,0,0,,,,
755,2,1,0.5,,,,
756,2,0,0,,,,
757,1,0,0,,,,
758,1,0,0,,,,
759,2,0,0,,,,
760,2,1,0.5,,,,
761,2,1,0.5,,,,
762,1,1,1,,,,
763,4,0,0,,,,
764,2,0,0,,,,
765,4,0,0,,,,
766,1,0,0,,,,
767,2,0,0,,,,
768,3,0,0,,,,
769,2,0,0,,,,
770,4,0,0,,,,
771,1,0,0,,,,
772,0,0,.,,,,
773,2,0,0,,,,
774,3,0,0,,,,
775,1,0,0,,,,
776,2,0,0,,,,
777,5,0,0,,,,
778,1,0,0,,,,
779,4,0,0,,,,
780,3,0,0,,,,
781,1,0,0,,,,
782,2,0,0,,,,
783,3,0,0,,,,
784,5,0,0,,,,
785,2,0,0,,,,
786,1,0,0,,,,
787,5,0,0,,,,
788,1,0,0,,,,
789,1,0,0,,,,
790,2,1,0.5,,,,
791,1,0,0,,,,
792,4,0,0,,,,
793,8,0,0,,,,
794,4,0,0,,,,
795,3,0,0,,,,
796,2,0,0,,,,
797,2,0,0,,,,
798,3,0,0,,,,
799,2,0,0,,,,
800,4,0,0,,,,
801,1,1,1,,,,
802,0,0,.,,,,
803,0,0,.,,,,
804,5,0,0,,,,
805,6,0,0,,,,
806,1,0,0,,,,
807,4,0,0,,,,
808,0,0,.,,,,
809,1,1,1,,,,
810,1,0,0,,,,
811,3,1,0.333333333,,,,
812,2,0,0,,,,
813,1,0,0,,,,
814,5,0,0,,,,
815,4,1,0.25,,,,
816,3,0,0,,,,
817,8,1,0.125,,,,
818,8,0,0,,,,
819,1,0,0,,,,
820,3,0,0,,,,
821,2,0,0,,,,
822,2,0,0,,,,
823,2,1,0.5,,,,
824,0,0,.,,,,
825,1,0,0,,,,
826,3,1,0.333333333,,,,
827,6,1,0.166666667,,,,
828,3,0,0,,,,
829,4,1,0.25,,,,
830,5,2,0.4,,,,
831,6,0,0,,,,
832,2,0,0,,,,
833,3,0,0,,,,
834,2,0,0,,,,
835,3,0,0,,,,
836,9,0,0,,,,
837,8,0,0,,,,
838,1,0,0,,,,
839,1,0,0,,,,
840,5,0,0,,,,
841,4,0,0,,,,
842,2,0,0,,,,
843,9,1,0.111111111,,,,
844,5,0,0,,,,
845,3,0,0,,,,
846,7,0,0,,,,
847,1,0,0,,,,
848,1,0,0,,,,
849,1,0,0,,,,
850,5,0,0,,,,
851,2,0,0,,,,
852,3,1,0.333333333,,,,
853,3,0,0,,,,
854,3,0,0,,,,
855,5,2,0.4,,,,
856,3,0,0,,,,
857,0,0,.,,,,
858,7,1,0.142857143,,,,
859,2,0,0,,,,
860,3,0,0,,,,
861,4,1,0.25,,,,
862,0,0,.,,,,
863,3,0,0,,,,
864,1,0,0,,,,
865,0,0,.,,,,
866,2,0,0,,,,
867,1,0,0,,,,
868,1,1,1,,,,
869,2,2,1,,,,
870,1,0,0,,,,
871,6,1,0.166666667,,,,
872,1,0,0,,,,
873,0,0,.,,,,
874,2,0,0,,,,
875,3,1,0.333333333,,,,
876,1,0,0,,,,
877,7,2,0.285714286,,,,
878,1,0,0,,,,
879,8,1,0.125,,,,
880,4,0,0,,,,
881,4,0,0,,,,
882,3,0,0,,,,
883,0,0,.,,,,
884,4,1,0.25,,,,
885,5,1,0.2,,,,
886,0,0,.,,,,
887,2,0,0,,,,
888,4,0,0,,,,
889,4,1,0.25,,,,
890,2,0,0,,,,
891,3,0,0,,,,
892,6,3,0.5,,,,
893,3,0,0,,,,
894,2,0,0,,,,
895,1,0,0,,,,
896,4,0,0,,,,
897,7,0,0,,,,
898,1,0,0,,,,
899,3,0,0,,,,
900,1,0,0,,,,
901,2,0,0,,,,
902,7,0,0,,,,
903,6,1,0.166666667,,,,
904,5,1,0.2,,,,
905,2,0,0,,,,
906,1,0,0,,,,
907,3,0,0,,,,
908,3,0,0,,,,
909,4,0,0,,,,
910,2,0,0,,,,
911,2,0,0,,,,
912,2,0,0,,,,
913,3,0,0,,,,
914,2,0,0,,,,
915,5,0,0,,,,
916,2,0,0,,,,
917,0,0,.,,,,
918,2,0,0,,,,
919,2,0,0,,,,
920,4,0,0,,,,
921,5,1,0.2,,,,
922,2,0,0,,,,
923,6,1,0.166666667,,,,
924,4,1,0.25,,,,
925,5,1,0.2,,,,
926,1,0,0,,,,
927,4,0,0,,,,
928,1,0,0,,,,
929,0,0,.,,,,
930,1,1,1,,,,
931,5,0,0,,,,
932,3,0,0,,,,
933,2,0,0,,,,
934,2,0,0,,,,
935,3,0,0,,,,
936,6,0,0,,,,
937,7,1,0.142857143,,,,
938,6,1,0.166666667,,,,
939,3,1,0.333333333,,,,
940,5,0,0,,,,
941,3,0,0,,,,
942,3,2,0.666666667,,,,
943,2,0,0,,,,
944,3,0,0,,,,
945,3,0,0,,,,
946,2,0,0,,,,
947,7,0,0,,,,
948,4,0,0,,,,
949,0,0,.,,,,
950,4,0,0,,,,
951,3,0,0,,,,
952,1,0,0,,,,
953,4,0,0,,,,
954,1,0,0,,,,
955,5,0,0,,,,
956,0,0,.,,,,
957,2,0,0,,,,
958,2,0,0,,,,
959,5,0,0,,,,
960,2,1,0.5,,,,
961,4,0,0,,,,
962,2,1,0.5,,,,
963,6,0,0,,,,
964,3,0,0,,,,
965,4,0,0,,,,
966,3,1,0.333333333,,,,
967,0,0,.,,,,
968,4,0,0,,,,
969,3,0,0,,,,
970,6,2,0.333333333,,,,
971,4,0,0,,,,
972,1,0,0,,,,
973,4,0,0,,,,
974,7,0,0,,,,
975,3,1,0.333333333,,,,
976,1,0,0,,,,
977,2,0,0,,,,
978,5,0,0,,,,
979,5,3,0.6,,,,
980,1,0,0,,,,
981,6,2,0.333333333,,,,
982,4,0,0,,,,
983,5,1,0.2,,,,
984,1,0,0,,,,
985,5,1,0.2,,,,
986,1,0,0,,,,
987,3,0,0,,,,
988,0,0,.,,,,
989,6,1,0.166666667,,,,
990,2,0,0,,,,
991,2,2,1,,,,
992,5,0,0,,,,
993,7,0,0,,,,
994,0,0,.,,,,
995,1,0,0,,,,
996,4,0,0,,,,
997,3,0,0,,,,
998,5,0,0,,,,
999,3,0,0,,,,
1000,5,0,0,,,,
1001,4,0,0,,,,
1002,2,0,0,,,,
1003,4,0,0,,,,
1004,1,0,0,,,,
1005,1,0,0,,,,
1006,0,0,.,,,,
1007,1,0,0,,,,
1008,1,0,0,,,,
1009,4,1,0.25,,,,
1010,3,1,0.333333333,,,,
1011,6,0,0,,,,
1012,4,1,0.25,,,,
1013,0,0,.,,,,
1014,2,0,0,,,,
1015,6,1,0.166666667,,,,
1016,1,0,0,,,,
1017,3,1,0.333333333,,,,
1018,5,3,0.6,,,,
1019,3,0,0,,,,
1020,2,0,0,,,,
1021,3,0,0,,,,
1022,5,0,0,,,,
1023,3,0,0,,,,
1024,0,0,.,,,,
1025,3,0,0,,,,
1026,2,0,0,,,,
1027,4,1,0.25,,,,
1028,6,0,0,,,,
1029,2,0,0,,,,
1030,0,0,.,,,,
1031,4,0,0,,,,
1032,3,0,0,,,,
1033,2,0,0,,,,
1034,1,0,0,,,,
1035,4,0,0,,,,
1036,1,0,0,,,,
1037,3,0,0,,,,
1038,6,0,0,,,,
1039,1,0,0,,,,
1040,4,0,0,,,,
1041,4,1,0.25,,,,
1042,3,0,0,,,,
1043,1,0,0,,,,
1044,6,0,0,,,,
1045,3,1,0.333333333,,,,
1046,2,0,0,,,,
1047,5,0,0,,,,
1048,4,1,0.25,,,,
1049,4,0,0,,,,
1050,2,0,0,,,,
1051,3,0,0,,,,
1052,10,0,0,,,,
1053,1,0,0,,,,
1054,5,0,0,,,,
1055,2,0,0,,,,
1056,1,0,0,,,,
1057,0,0,.,,,,
1058,1,0,0,,,,
1059,4,2,0.5,,,,
1060,3,0,0,,,,
1061,1,0,0,,,,
1062,2,0,0,,,,
1063,1,1,1,,,,
1064,4,0,0,,,,
1065,1,1,1,,,,
1066,2,0,0,,,,
1067,2,0,0,,,,
1068,0,0,.,,,,
1069,2,1,0.5,,,,
1070,3,0,0,,,,
1071,6,2,0.333333333,,,,
