Definition: ,"Percentage of women with a live birth or a stillbirth in the last 2 years, distributed by number of months pregnant at time of first antenatal care visit for most recent birth",,,,,,,
Denominator,Women who have had a live birth or a stillbirth in the 2 years preceding the survey (m80 = 1 or 3 & p19 < 24),,,,,,,
,,,,,,,,
Average,0.27763809,,National weighted average,,,28.7,DHS report,29
,,,,,,,,
,,,,,,,,
v001,birthsw,anc4mow,,,,,,
97,11,2,0.181818182,,,,,
98,13,3,0.230769231,,,,,
99,6,1,0.166666667,,,,,
100,3,0,0,,,,,
101,3,1,0.333333333,,,,,
102,1,0,0,,,,,
103,0,0,.,,,,,
104,7,2,0.285714286,,,,,
105,3,1,0.333333333,,,,,
106,1,0,0,,,,,
107,0,0,.,,,,,
108,0,0,.,,,,,
109,4,0,0,,,,,
110,1,1,1,,,,,
111,7,0,0,,,,,
112,9,2,0.222222222,,,,,
113,8,2,0.25,,,,,
114,5,0,0,,,,,
115,7,0,0,,,,,
116,10,1,0.1,,,,,
117,5,0,0,,,,,
118,6,4,0.666666667,,,,,
119,6,2,0.333333333,,,,,
120,8,1,0.125,,,,,
121,7,1,0.142857143,,,,,
122,12,1,0.083333333,,,,,
123,8,1,0.125,,,,,
124,11,4,0.363636364,,,,,
125,12,1,0.083333333,,,,,
126,4,0,0,,,,,
127,11,0,0,,,,,
128,2,0,0,,,,,
129,8,1,0.125,,,,,
130,2,0,0,,,,,
131,8,1,0.125,,,,,
132,8,2,0.25,,,,,
133,7,3,0.428571429,,,,,
134,7,1,0.142857143,,,,,
135,10,2,0.2,,,,,
136,15,4,0.266666667,,,,,
137,9,0,0,,,,,
138,3,1,0.333333333,,,,,
139,9,1,0.111111111,,,,,
140,2,1,0.5,,,,,
141,6,3,0.5,,,,,
142,2,1,0.5,,,,,
143,12,1,0.083333333,,,,,
144,4,1,0.25,,,,,
145,3,0,0,,,,,
146,6,4,0.666666667,,,,,
147,11,3,0.272727273,,,,,
148,4,3,0.75,,,,,
149,9,3,0.333333333,,,,,
150,5,0,0,,,,,
151,9,2,0.222222222,,,,,
152,6,3,0.5,,,,,
153,3,1,0.333333333,,,,,
154,3,0,0,,,,,
155,3,1,0.333333333,,,,,
156,1,0,0,,,,,
157,2,1,0.5,,,,,
158,4,2,0.5,,,,,
159,2,1,0.5,,,,,
160,9,2,0.222222222,,,,,
161,5,3,0.6,,,,,
162,10,1,0.1,,,,,
163,4,2,0.5,,,,,
164,4,1,0.25,,,,,
165,11,3,0.272727273,,,,,
166,5,2,0.4,,,,,
167,5,2,0.4,,,,,
168,2,0,0,,,,,
169,6,1,0.166666667,,,,,
170,1,0,0,,,,,
171,9,3,0.333333333,,,,,
172,8,3,0.375,,,,,
173,7,1,0.142857143,,,,,
174,6,2,0.333333333,,,,,
175,11,0,0,,,,,
176,3,1,0.333333333,,,,,
177,3,1,0.333333333,,,,,
178,4,0,0,,,,,
179,3,2,0.666666667,,,,,
180,2,0,0,,,,,
181,6,4,0.666666667,,,,,
182,4,0,0,,,,,
183,5,1,0.2,,,,,
185,4,2,0.5,,,,,
186,4,1,0.25,,,,,
187,2,0,0,,,,,
188,1,0,0,,,,,
189,4,1,0.25,,,,,
190,1,0,0,,,,,
191,4,2,0.5,,,,,
192,1,0,0,,,,,
193,3,0,0,,,,,
194,5,1,0.2,,,,,
195,2,1,0.5,,,,,
196,9,6,0.666666667,,,,,
197,3,1,0.333333333,,,,,
198,7,2,0.285714286,,,,,
199,2,0,0,,,,,
200,3,1,0.333333333,,,,,
201,1,0,0,,,,,
202,1,0,0,,,,,
203,2,1,0.5,,,,,
204,3,2,0.666666667,,,,,
205,2,0,0,,,,,
206,3,0,0,,,,,
207,2,1,0.5,,,,,
208,1,1,1,,,,,
209,9,2,0.222222222,,,,,
210,7,0,0,,,,,
211,7,0,0,,,,,
212,5,1,0.2,,,,,
213,5,0,0,,,,,
214,11,1,0.090909091,,,,,
215,7,0,0,,,,,
216,7,2,0.285714286,,,,,
217,6,1,0.166666667,,,,,
218,6,1,0.166666667,,,,,
219,0,0,.,,,,,
220,7,2,0.285714286,,,,,
221,3,1,0.333333333,,,,,
222,5,1,0.2,,,,,
223,4,2,0.5,,,,,
224,9,1,0.111111111,,,,,
225,9,0,0,,,,,
226,5,1,0.2,,,,,
227,8,0,0,,,,,
228,11,2,0.181818182,,,,,
229,11,1,0.090909091,,,,,
230,1,0,0,,,,,
231,7,1,0.142857143,,,,,
232,3,1,0.333333333,,,,,
233,3,0,0,,,,,
234,5,2,0.4,,,,,
235,8,1,0.125,,,,,
236,3,1,0.333333333,,,,,
237,14,2,0.142857143,,,,,
238,7,1,0.142857143,,,,,
239,7,1,0.142857143,,,,,
240,4,2,0.5,,,,,
241,4,2,0.5,,,,,
242,3,1,0.333333333,,,,,
243,8,0,0,,,,,
244,3,0,0,,,,,
245,10,2,0.2,,,,,
246,12,5,0.416666667,,,,,
247,5,2,0.4,,,,,
248,3,0,0,,,,,
249,3,1,0.333333333,,,,,
250,8,2,0.25,,,,,
251,7,2,0.285714286,,,,,
252,8,0,0,,,,,
253,2,1,0.5,,,,,
254,8,1,0.125,,,,,
255,8,1,0.125,,,,,
256,9,1,0.111111111,,,,,
257,9,0,0,,,,,
258,4,0,0,,,,,
259,2,0,0,,,,,
260,7,1,0.142857143,,,,,
261,17,1,0.058823529,,,,,
262,14,1,0.071428571,,,,,
263,4,0,0,,,,,
264,10,0,0,,,,,
265,4,1,0.25,,,,,
266,9,0,0,,,,,
267,13,1,0.076923077,,,,,
268,3,0,0,,,,,
269,5,1,0.2,,,,,
270,6,0,0,,,,,
271,2,1,0.5,,,,,
272,5,0,0,,,,,
273,8,0,0,,,,,
274,10,1,0.1,,,,,
275,10,1,0.1,,,,,
276,9,3,0.333333333,,,,,
277,9,0,0,,,,,
278,12,0,0,,,,,
279,7,0,0,,,,,
280,5,0,0,,,,,
281,10,1,0.1,,,,,
282,10,0,0,,,,,
283,10,0,0,,,,,
284,11,0,0,,,,,
285,12,0,0,,,,,
286,11,0,0,,,,,
287,10,0,0,,,,,
288,6,0,0,,,,,
289,14,1,0.071428571,,,,,
290,11,0,0,,,,,
291,7,2,0.285714286,,,,,
292,14,2,0.142857143,,,,,
293,5,0,0,,,,,
294,9,0,0,,,,,
295,11,0,0,,,,,
296,13,2,0.153846154,,,,,
297,10,0,0,,,,,
298,10,0,0,,,,,
299,9,0,0,,,,,
300,16,3,0.1875,,,,,
301,11,0,0,,,,,
302,6,0,0,,,,,
303,8,0,0,,,,,
304,10,1,0.1,,,,,
305,7,0,0,,,,,
307,5,0,0,,,,,
308,11,4,0.363636364,,,,,
309,7,2,0.285714286,,,,,
310,8,1,0.125,,,,,
311,8,3,0.375,,,,,
312,6,2,0.333333333,,,,,
313,6,2,0.333333333,,,,,
314,10,2,0.2,,,,,
315,5,2,0.4,,,,,
316,4,0,0,,,,,
317,9,3,0.333333333,,,,,
318,4,2,0.5,,,,,
319,5,0,0,,,,,
320,2,1,0.5,,,,,
321,2,0,0,,,,,
322,9,4,0.444444444,,,,,
323,4,1,0.25,,,,,
324,7,3,0.428571429,,,,,
325,11,3,0.272727273,,,,,
326,7,4,0.571428571,,,,,
327,8,3,0.375,,,,,
328,6,3,0.5,,,,,
329,8,1,0.125,,,,,
330,10,5,0.5,,,,,
331,9,0,0,,,,,
332,8,0,0,,,,,
333,9,2,0.222222222,,,,,
334,6,1,0.166666667,,,,,
335,6,1,0.166666667,,,,,
336,9,1,0.111111111,,,,,
337,8,2,0.25,,,,,
338,3,0,0,,,,,
339,4,3,0.75,,,,,
340,8,1,0.125,,,,,
341,3,0,0,,,,,
342,6,1,0.166666667,,,,,
343,6,0,0,,,,,
344,10,0,0,,,,,
345,8,1,0.125,,,,,
346,5,4,0.8,,,,,
347,6,5,0.833333333,,,,,
348,6,4,0.666666667,,,,,
349,8,1,0.125,,,,,
350,7,1,0.142857143,,,,,
351,9,3,0.333333333,,,,,
352,3,0,0,,,,,
353,11,0,0,,,,,
354,7,3,0.428571429,,,,,
355,9,1,0.111111111,,,,,
356,6,6,1,,,,,
357,4,0,0,,,,,
358,4,1,0.25,,,,,
359,0,0,.,,,,,
360,5,3,0.6,,,,,
361,1,0,0,,,,,
362,6,2,0.333333333,,,,,
363,4,1,0.25,,,,,
364,0,0,.,,,,,
365,6,0,0,,,,,
366,3,1,0.333333333,,,,,
367,6,1,0.166666667,,,,,
368,7,6,0.857142857,,,,,
369,4,0,0,,,,,
370,5,2,0.4,,,,,
371,1,0,0,,,,,
372,5,3,0.6,,,,,
373,7,1,0.142857143,,,,,
374,5,2,0.4,,,,,
375,5,0,0,,,,,
376,6,0,0,,,,,
377,1,0,0,,,,,
378,5,1,0.2,,,,,
379,4,2,0.5,,,,,
380,1,1,1,,,,,
381,4,2,0.5,,,,,
382,7,0,0,,,,,
383,4,2,0.5,,,,,
384,5,0,0,,,,,
385,2,1,0.5,,,,,
386,2,0,0,,,,,
387,1,0,0,,,,,
388,2,0,0,,,,,
389,7,1,0.142857143,,,,,
390,4,0,0,,,,,
391,6,1,0.166666667,,,,,
392,4,0,0,,,,,
393,5,2,0.4,,,,,
394,3,1,0.333333333,,,,,
395,2,1,0.5,,,,,
396,1,0,0,,,,,
397,2,0,0,,,,,
398,2,0,0,,,,,
399,2,1,0.5,,,,,
400,4,1,0.25,,,,,
401,3,1,0.333333333,,,,,
402,2,0,0,,,,,
403,3,0,0,,,,,
404,3,1,0.333333333,,,,,
405,2,1,0.5,,,,,
406,4,0,0,,,,,
407,2,0,0,,,,,
408,6,2,0.333333333,,,,,
409,2,2,1,,,,,
410,5,0,0,,,,,
411,2,0,0,,,,,
412,3,1,0.333333333,,,,,
413,3,1,0.333333333,,,,,
414,5,0,0,,,,,
415,2,0,0,,,,,
416,8,2,0.25,,,,,
417,3,2,0.666666667,,,,,
418,4,1,0.25,,,,,
419,4,3,0.75,,,,,
420,4,1,0.25,,,,,
421,3,1,0.333333333,,,,,
422,3,1,0.333333333,,,,,
423,3,1,0.333333333,,,,,
424,4,0,0,,,,,
425,3,0,0,,,,,
426,4,1,0.25,,,,,
427,4,0,0,,,,,
428,4,2,0.5,,,,,
429,5,2,0.4,,,,,
430,2,1,0.5,,,,,
431,1,0,0,,,,,
432,4,0,0,,,,,
433,2,1,0.5,,,,,
434,3,1,0.333333333,,,,,
435,2,1,0.5,,,,,
436,3,2,0.666666667,,,,,
437,1,0,0,,,,,
438,4,0,0,,,,,
439,2,0,0,,,,,
440,4,0,0,,,,,
441,4,0,0,,,,,
442,1,0,0,,,,,
443,0,0,.,,,,,
444,4,2,0.5,,,,,
445,4,1,0.25,,,,,
446,5,3,0.6,,,,,
447,4,0,0,,,,,
448,1,0,0,,,,,
449,4,1,0.25,,,,,
450,2,0,0,,,,,
451,1,0,0,,,,,
452,2,2,1,,,,,
453,2,1,0.5,,,,,
454,1,0,0,,,,,
455,5,1,0.2,,,,,
456,2,0,0,,,,,
457,2,0,0,,,,,
458,3,1,0.333333333,,,,,
459,3,2,0.666666667,,,,,
460,3,1,0.333333333,,,,,
461,3,0,0,,,,,
462,4,3,0.75,,,,,
463,2,1,0.5,,,,,
464,3,1,0.333333333,,,,,
465,4,2,0.5,,,,,
466,2,0,0,,,,,
467,4,1,0.25,,,,,
468,0,0,.,,,,,
469,3,1,0.333333333,,,,,
470,1,0,0,,,,,
471,3,0,0,,,,,
472,4,1,0.25,,,,,
473,3,0,0,,,,,
474,2,0,0,,,,,
475,3,2,0.666666667,,,,,
476,5,1,0.2,,,,,
477,8,3,0.375,,,,,
478,5,0,0,,,,,
479,3,2,0.666666667,,,,,
480,2,1,0.5,,,,,
481,2,0,0,,,,,
482,4,0,0,,,,,
483,4,1,0.25,,,,,
484,4,2,0.5,,,,,
485,5,4,0.8,,,,,
486,3,2,0.666666667,,,,,
487,5,2,0.4,,,,,
488,4,1,0.25,,,,,
489,2,2,1,,,,,
490,6,4,0.666666667,,,,,
491,4,2,0.5,,,,,
492,2,0,0,,,,,
493,2,0,0,,,,,
494,2,0,0,,,,,
495,1,0,0,,,,,
496,3,1,0.333333333,,,,,
497,3,1,0.333333333,,,,,
498,3,2,0.666666667,,,,,
500,4,2,0.5,,,,,
501,1,1,1,,,,,
502,3,2,0.666666667,,,,,
503,3,1,0.333333333,,,,,
504,6,0,0,,,,,
505,8,1,0.125,,,,,
506,7,2,0.285714286,,,,,
507,6,1,0.166666667,,,,,
508,3,2,0.666666667,,,,,
509,3,0,0,,,,,
510,1,0,0,,,,,
511,4,2,0.5,,,,,
512,4,3,0.75,,,,,
513,6,3,0.5,,,,,
514,3,2,0.666666667,,,,,
515,6,2,0.333333333,,,,,
516,6,2,0.333333333,,,,,
517,2,1,0.5,,,,,
518,8,0,0,,,,,
519,5,2,0.4,,,,,
520,2,0,0,,,,,
521,2,0,0,,,,,
522,3,1,0.333333333,,,,,
523,2,1,0.5,,,,,
524,4,1,0.25,,,,,
525,3,3,1,,,,,
526,3,1,0.333333333,,,,,
527,1,1,1,,,,,
528,3,0,0,,,,,
529,6,0,0,,,,,
530,4,1,0.25,,,,,
531,2,2,1,,,,,
532,0,0,.,,,,,
533,1,1,1,,,,,
534,1,0,0,,,,,
535,4,2,0.5,,,,,
536,4,2,0.5,,,,,
537,3,0,0,,,,,
538,0,0,.,,,,,
539,1,1,1,,,,,
540,1,0,0,,,,,
541,1,1,1,,,,,
542,2,1,0.5,,,,,
543,9,2,0.222222222,,,,,
544,2,0,0,,,,,
545,6,0,0,,,,,
546,4,0,0,,,,,
547,7,3,0.428571429,,,,,
548,5,2,0.4,,,,,
549,1,1,1,,,,,
550,0,0,.,,,,,
551,3,2,0.666666667,,,,,
552,1,0,0,,,,,
553,4,1,0.25,,,,,
554,3,0,0,,,,,
555,4,1,0.25,,,,,
556,2,1,0.5,,,,,
557,5,4,0.8,,,,,
558,2,2,1,,,,,
559,6,2,0.333333333,,,,,
560,1,0,0,,,,,
561,5,4,0.8,,,,,
562,2,1,0.5,,,,,
563,7,4,0.571428571,,,,,
564,6,4,0.666666667,,,,,
565,2,2,1,,,,,
566,3,1,0.333333333,,,,,
567,4,0,0,,,,,
568,4,1,0.25,,,,,
569,4,1,0.25,,,,,
570,8,4,0.5,,,,,
571,6,2,0.333333333,,,,,
572,1,0,0,,,,,
573,4,1,0.25,,,,,
574,3,1,0.333333333,,,,,
575,1,0,0,,,,,
576,5,0,0,,,,,
577,1,1,1,,,,,
578,2,0,0,,,,,
579,4,1,0.25,,,,,
580,2,0,0,,,,,
581,4,1,0.25,,,,,
582,5,1,0.2,,,,,
583,2,1,0.5,,,,,
584,1,0,0,,,,,
585,1,0,0,,,,,
586,2,1,0.5,,,,,
587,3,0,0,,,,,
588,5,2,0.4,,,,,
589,7,1,0.142857143,,,,,
590,3,2,0.666666667,,,,,
591,5,2,0.4,,,,,
592,4,1,0.25,,,,,
593,9,4,0.444444444,,,,,
594,6,3,0.5,,,,,
595,4,1,0.25,,,,,
596,2,1,0.5,,,,,
597,6,4,0.666666667,,,,,
598,2,0,0,,,,,
599,2,1,0.5,,,,,
600,2,1,0.5,,,,,
601,3,1,0.333333333,,,,,
602,3,0,0,,,,,
603,5,1,0.2,,,,,
604,2,1,0.5,,,,,
605,6,1,0.166666667,,,,,
606,4,0,0,,,,,
607,5,3,0.6,,,,,
608,3,0,0,,,,,
609,2,0,0,,,,,
610,4,2,0.5,,,,,
611,2,1,0.5,,,,,
612,1,1,1,,,,,
613,3,0,0,,,,,
614,3,1,0.333333333,,,,,
615,3,2,0.666666667,,,,,
616,4,2,0.5,,,,,
617,3,2,0.666666667,,,,,
618,4,0,0,,,,,
619,5,1,0.2,,,,,
620,2,1,0.5,,,,,
621,6,1,0.166666667,,,,,
622,5,0,0,,,,,
623,5,1,0.2,,,,,
624,1,1,1,,,,,
625,7,2,0.285714286,,,,,
626,1,0,0,,,,,
627,1,0,0,,,,,
628,0,0,.,,,,,
629,3,1,0.333333333,,,,,
630,1,1,1,,,,,
631,1,1,1,,,,,
632,3,1,0.333333333,,,,,
633,3,2,0.666666667,,,,,
634,3,1,0.333333333,,,,,
635,3,1,0.333333333,,,,,
636,4,3,0.75,,,,,
637,5,4,0.8,,,,,
638,2,1,0.5,,,,,
639,1,1,1,,,,,
640,4,0,0,,,,,
641,3,0,0,,,,,
642,2,1,0.5,,,,,
643,1,0,0,,,,,
644,3,3,1,,,,,
645,0,0,.,,,,,
646,3,0,0,,,,,
647,2,2,1,,,,,
648,5,1,0.2,,,,,
649,2,0,0,,,,,
650,3,2,0.666666667,,,,,
651,0,0,.,,,,,
652,7,4,0.571428571,,,,,
653,1,0,0,,,,,
654,1,0,0,,,,,
655,2,1,0.5,,,,,
656,2,1,0.5,,,,,
657,5,3,0.6,,,,,
658,2,1,0.5,,,,,
659,1,0,0,,,,,
661,8,4,0.5,,,,,
662,1,1,1,,,,,
663,3,2,0.666666667,,,,,
664,2,0,0,,,,,
665,3,0,0,,,,,
666,2,1,0.5,,,,,
667,3,2,0.666666667,,,,,
668,3,2,0.666666667,,,,,
669,4,3,0.75,,,,,
670,3,1,0.333333333,,,,,
671,2,1,0.5,,,,,
672,1,0,0,,,,,
673,2,0,0,,,,,
674,2,1,0.5,,,,,
675,4,1,0.25,,,,,
676,4,2,0.5,,,,,
677,4,2,0.5,,,,,
678,2,2,1,,,,,
679,3,1,0.333333333,,,,,
680,2,2,1,,,,,
681,0,0,.,,,,,
682,7,4,0.571428571,,,,,
683,2,2,1,,,,,
684,2,1,0.5,,,,,
685,5,1,0.2,,,,,
686,5,0,0,,,,,
687,1,0,0,,,,,
688,5,1,0.2,,,,,
689,6,3,0.5,,,,,
690,2,2,1,,,,,
691,3,1,0.333333333,,,,,
692,4,2,0.5,,,,,
693,4,1,0.25,,,,,
694,4,2,0.5,,,,,
695,3,0,0,,,,,
696,2,0,0,,,,,
697,1,0,0,,,,,
698,4,0,0,,,,,
699,1,0,0,,,,,
700,5,0,0,,,,,
701,2,1,0.5,,,,,
702,4,3,0.75,,,,,
703,4,0,0,,,,,
704,4,2,0.5,,,,,
705,4,3,0.75,,,,,
706,3,1,0.333333333,,,,,
707,2,1,0.5,,,,,
708,2,0,0,,,,,
709,4,3,0.75,,,,,
710,3,0,0,,,,,
711,4,0,0,,,,,
712,1,0,0,,,,,
713,4,0,0,,,,,
714,0,0,.,,,,,
715,5,0,0,,,,,
716,2,0,0,,,,,
717,3,1,0.333333333,,,,,
718,8,1,0.125,,,,,
719,2,0,0,,,,,
720,2,1,0.5,,,,,
721,6,2,0.333333333,,,,,
722,1,0,0,,,,,
723,3,1,0.333333333,,,,,
724,3,2,0.666666667,,,,,
725,1,0,0,,,,,
726,3,2,0.666666667,,,,,
727,3,0,0,,,,,
728,3,0,0,,,,,
729,2,0,0,,,,,
730,2,0,0,,,,,
731,3,2,0.666666667,,,,,
732,4,1,0.25,,,,,
733,4,1,0.25,,,,,
734,4,0,0,,,,,
735,3,0,0,,,,,
736,1,1,1,,,,,
737,4,0,0,,,,,
738,4,1,0.25,,,,,
739,4,1,0.25,,,,,
740,4,0,0,,,,,
741,0,0,.,,,,,
742,1,1,1,,,,,
743,3,0,0,,,,,
744,3,1,0.333333333,,,,,
745,5,3,0.6,,,,,
746,4,2,0.5,,,,,
747,0,0,.,,,,,
748,4,1,0.25,,,,,
749,5,4,0.8,,,,,
750,3,0,0,,,,,
751,3,0,0,,,,,
752,3,1,0.333333333,,,,,
753,5,0,0,,,,,
754,2,0,0,,,,,
755,3,0,0,,,,,
756,3,2,0.666666667,,,,,
757,0,0,.,,,,,
758,3,0,0,,,,,
759,4,1,0.25,,,,,
760,6,3,0.5,,,,,
761,4,1,0.25,,,,,
762,4,0,0,,,,,
763,4,0,0,,,,,
764,3,1,0.333333333,,,,,
765,3,3,1,,,,,
766,2,0,0,,,,,
767,3,0,0,,,,,
768,4,1,0.25,,,,,
769,2,1,0.5,,,,,
770,5,3,0.6,,,,,
771,3,1,0.333333333,,,,,
772,2,0,0,,,,,
773,3,0,0,,,,,
774,1,0,0,,,,,
775,5,0,0,,,,,
776,2,1,0.5,,,,,
777,5,1,0.2,,,,,
778,6,3,0.5,,,,,
779,14,5,0.357142857,,,,,
780,9,3,0.333333333,,,,,
781,6,4,0.666666667,,,,,
782,11,2,0.181818182,,,,,
783,6,1,0.166666667,,,,,
784,10,1,0.1,,,,,
785,3,2,0.666666667,,,,,
786,3,1,0.333333333,,,,,
787,6,0,0,,,,,
788,3,1,0.333333333,,,,,
789,5,1,0.2,,,,,
790,4,0,0,,,,,
791,6,0,0,,,,,
792,8,3,0.375,,,,,
793,10,3,0.3,,,,,
794,10,3,0.3,,,,,
795,4,2,0.5,,,,,
796,3,1,0.333333333,,,,,
797,9,1,0.111111111,,,,,
798,10,3,0.3,,,,,
799,10,1,0.1,,,,,
800,3,0,0,,,,,
801,13,5,0.384615385,,,,,
802,7,2,0.285714286,,,,,
803,1,0,0,,,,,
804,7,5,0.714285714,,,,,
805,10,4,0.4,,,,,
806,1,0,0,,,,,
807,11,3,0.272727273,,,,,
808,11,2,0.181818182,,,,,
809,3,1,0.333333333,,,,,
810,6,2,0.333333333,,,,,
811,6,1,0.166666667,,,,,
812,10,1,0.1,,,,,
813,5,0,0,,,,,
814,15,2,0.133333333,,,,,
815,15,1,0.066666667,,,,,
816,12,0,0,,,,,
817,9,1,0.111111111,,,,,
818,12,1,0.083333333,,,,,
819,10,1,0.1,,,,,
820,16,3,0.1875,,,,,
821,10,0,0,,,,,
822,13,0,0,,,,,
823,13,1,0.076923077,,,,,
824,14,1,0.071428571,,,,,
825,9,0,0,,,,,
826,8,0,0,,,,,
827,12,1,0.083333333,,,,,
828,11,1,0.090909091,,,,,
829,12,0,0,,,,,
830,7,0,0,,,,,
831,13,1,0.076923077,,,,,
832,10,0,0,,,,,
833,9,0,0,,,,,
834,10,0,0,,,,,
835,6,0,0,,,,,
836,8,3,0.375,,,,,
837,10,2,0.2,,,,,
838,5,1,0.2,,,,,
839,2,1,0.5,,,,,
840,6,0,0,,,,,
841,11,1,0.090909091,,,,,
842,5,1,0.2,,,,,
843,7,2,0.285714286,,,,,
844,9,2,0.222222222,,,,,
845,6,2,0.333333333,,,,,
846,11,3,0.272727273,,,,,
847,9,3,0.333333333,,,,,
848,1,0,0,,,,,
849,4,2,0.5,,,,,
850,6,3,0.5,,,,,
851,3,1,0.333333333,,,,,
852,5,1,0.2,,,,,
853,9,4,0.444444444,,,,,
854,5,2,0.4,,,,,
855,5,3,0.6,,,,,
856,4,2,0.5,,,,,
857,12,5,0.416666667,,,,,
858,11,7,0.636363636,,,,,
859,11,6,0.545454545,,,,,
860,2,0,0,,,,,
861,10,4,0.4,,,,,
862,9,0,0,,,,,
863,3,1,0.333333333,,,,,
864,9,3,0.333333333,,,,,
865,7,4,0.571428571,,,,,
866,9,3,0.333333333,,,,,
867,5,2,0.4,,,,,
868,10,0,0,,,,,
869,12,6,0.5,,,,,
870,8,2,0.25,,,,,
871,7,1,0.142857143,,,,,
872,2,0,0,,,,,
873,2,0,0,,,,,
874,7,2,0.285714286,,,,,
875,8,0,0,,,,,
876,7,0,0,,,,,
877,12,3,0.25,,,,,
878,10,2,0.2,,,,,
879,14,1,0.071428571,,,,,
880,4,1,0.25,,,,,
881,4,0,0,,,,,
882,4,1,0.25,,,,,
883,3,0,0,,,,,
884,4,1,0.25,,,,,
885,5,1,0.2,,,,,
886,0,0,.,,,,,
887,1,0,0,,,,,
888,4,2,0.5,,,,,
889,2,1,0.5,,,,,
890,3,0,0,,,,,
891,3,1,0.333333333,,,,,
892,6,1,0.166666667,,,,,
893,5,1,0.2,,,,,
894,5,2,0.4,,,,,
895,3,0,0,,,,,
896,3,3,1,,,,,
897,6,2,0.333333333,,,,,
898,1,1,1,,,,,
899,4,1,0.25,,,,,
900,3,0,0,,,,,
901,4,1,0.25,,,,,
902,12,3,0.25,,,,,
903,9,2,0.222222222,,,,,
904,5,2,0.4,,,,,
905,4,2,0.5,,,,,
906,3,2,0.666666667,,,,,
907,4,0,0,,,,,
908,3,0,0,,,,,
909,7,2,0.285714286,,,,,
910,5,3,0.6,,,,,
911,3,1,0.333333333,,,,,
912,3,2,0.666666667,,,,,
913,1,0,0,,,,,
914,3,1,0.333333333,,,,,
915,8,5,0.625,,,,,
916,4,0,0,,,,,
917,0,0,.,,,,,
918,3,1,0.333333333,,,,,
919,5,2,0.4,,,,,
920,4,3,0.75,,,,,
921,6,0,0,,,,,
922,3,0,0,,,,,
923,6,4,0.666666667,,,,,
924,3,0,0,,,,,
925,7,4,0.571428571,,,,,
