Definition: ,Percentage of women with a live birth or a stillbirth in the last 2 years who took iron tablets or syrup during their most recent pregnancy.,,,,,,,
Denominator,Women who have had a live birth or a stillbirth in the 2 years preceding the survey ,,,,,,,
,,,,,,,,
Average,0.710867403,,National weighted average,,71.9,,DHS report,70.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
v001,birthsw,ironsuppl,,,,,,
206,6,4,0.666666667,,,,,
207,1,0,0,,,,,
208,3,1,0.333333333,,,,,
209,1,1,1,,,,,
210,2,2,1,,,,,
211,3,1,0.333333333,,,,,
212,0,2,.,,,,,
213,3,5,1.666666667,,,,,
214,5,2,0.4,,,,,
215,2,4,2,,,,,
216,4,1,0.25,,,,,
217,3,2,0.666666667,,,,,
218,1,0,0,,,,,
219,1,2,2,,,,,
220,4,6,1.5,,,,,
221,7,4,0.571428571,,,,,
222,4,6,1.5,,,,,
223,3,0,0,,,,,
224,9,6,0.666666667,,,,,
225,2,0,0,,,,,
226,3,2,0.666666667,,,,,
227,3,1,0.333333333,,,,,
228,1,5,5,,,,,
229,3,2,0.666666667,,,,,
230,1,1,1,,,,,
231,4,2,0.5,,,,,
232,2,1,0.5,,,,,
233,7,4,0.571428571,,,,,
234,1,3,3,,,,,
235,2,4,2,,,,,
236,0,1,.,,,,,
237,7,5,0.714285714,,,,,
238,2,2,1,,,,,
239,3,2,0.666666667,,,,,
240,5,2,0.4,,,,,
241,2,3,1.5,,,,,
242,1,4,4,,,,,
243,6,3,0.5,,,,,
244,4,6,1.5,,,,,
245,8,2,0.25,,,,,
246,1,2,2,,,,,
247,6,3,0.5,,,,,
248,6,5,0.833333333,,,,,
249,2,1,0.5,,,,,
250,1,2,2,,,,,
251,3,3,1,,,,,
252,2,4,2,,,,,
253,2,1,0.5,,,,,
254,0,2,.,,,,,
255,2,5,2.5,,,,,
256,5,3,0.6,,,,,
257,3,5,1.666666667,,,,,
258,4,4,1,,,,,
259,5,3,0.6,,,,,
260,6,3,0.5,,,,,
261,6,4,0.666666667,,,,,
262,2,2,1,,,,,
263,3,3,1,,,,,
264,5,5,1,,,,,
265,3,4,1.333333333,,,,,
266,4,3,0.75,,,,,
267,1,0,0,,,,,
268,1,0,0,,,,,
269,12,7,0.583333333,,,,,
270,7,7,1,,,,,
271,7,4,0.571428571,,,,,
272,4,4,1,,,,,
273,2,0,0,,,,,
274,8,7,0.875,,,,,
275,6,5,0.833333333,,,,,
276,5,6,1.2,,,,,
277,12,6,0.5,,,,,
278,7,6,0.857142857,,,,,
279,7,5,0.714285714,,,,,
280,11,6,0.545454545,,,,,
281,14,8,0.571428571,,,,,
282,5,5,1,,,,,
283,7,4,0.571428571,,,,,
284,2,2,1,,,,,
285,2,4,2,,,,,
286,6,2,0.333333333,,,,,
287,2,4,2,,,,,
288,4,2,0.5,,,,,
289,1,2,2,,,,,
290,1,1,1,,,,,
291,3,0,0,,,,,
292,3,7,2.333333333,,,,,
293,13,7,0.538461538,,,,,
294,5,2,0.4,,,,,
295,3,2,0.666666667,,,,,
296,12,5,0.416666667,,,,,
297,11,5,0.454545455,,,,,
298,1,2,2,,,,,
299,10,6,0.6,,,,,
300,9,6,0.666666667,,,,,
301,4,5,1.25,,,,,
302,7,3,0.428571429,,,,,
303,2,3,1.5,,,,,
304,2,2,1,,,,,
305,2,0,0,,,,,
306,5,1,0.2,,,,,
307,1,0,0,,,,,
308,11,5,0.454545455,,,,,
309,1,2,2,,,,,
310,6,4,0.666666667,,,,,
311,8,4,0.5,,,,,
312,10,7,0.7,,,,,
313,11,4,0.363636364,,,,,
314,6,2,0.333333333,,,,,
315,3,2,0.666666667,,,,,
316,8,7,0.875,,,,,
317,6,6,1,,,,,
318,6,5,0.833333333,,,,,
319,3,3,1,,,,,
320,2,1,0.5,,,,,
321,5,3,0.6,,,,,
322,14,8,0.571428571,,,,,
323,6,3,0.5,,,,,
324,4,1,0.25,,,,,
325,5,0,0,,,,,
326,3,3,1,,,,,
327,6,2,0.333333333,,,,,
328,8,7,0.875,,,,,
329,8,5,0.625,,,,,
330,11,5,0.454545455,,,,,
331,19,12,0.631578947,,,,,
332,11,7,0.636363636,,,,,
333,10,2,0.2,,,,,
334,15,9,0.6,,,,,
335,3,2,0.666666667,,,,,
336,8,1,0.125,,,,,
338,6,5,0.833333333,,,,,
339,6,3,0.5,,,,,
340,10,2,0.2,,,,,
341,9,7,0.777777778,,,,,
342,11,8,0.727272727,,,,,
343,10,5,0.5,,,,,
344,17,10,0.588235294,,,,,
345,5,4,0.8,,,,,
346,14,7,0.5,,,,,
347,6,3,0.5,,,,,
348,4,3,0.75,,,,,
349,6,4,0.666666667,,,,,
350,7,2,0.285714286,,,,,
351,1,3,3,,,,,
352,5,4,0.8,,,,,
353,11,5,0.454545455,,,,,
354,11,7,0.636363636,,,,,
355,9,7,0.777777778,,,,,
356,8,6,0.75,,,,,
357,13,11,0.846153846,,,,,
358,10,2,0.2,,,,,
359,9,5,0.555555556,,,,,
360,12,8,0.666666667,,,,,
361,10,6,0.6,,,,,
362,16,11,0.6875,,,,,
363,6,5,0.833333333,,,,,
364,13,5,0.384615385,,,,,
365,6,3,0.5,,,,,
366,6,2,0.333333333,,,,,
367,6,4,0.666666667,,,,,
368,1,1,1,,,,,
369,5,3,0.6,,,,,
370,4,3,0.75,,,,,
371,7,3,0.428571429,,,,,
372,6,3,0.5,,,,,
373,4,2,0.5,,,,,
374,1,1,1,,,,,
375,5,3,0.6,,,,,
376,3,1,0.333333333,,,,,
377,3,2,0.666666667,,,,,
378,0,1,.,,,,,
379,1,0,0,,,,,
380,3,0,0,,,,,
381,5,1,0.2,,,,,
382,1,2,2,,,,,
383,3,5,1.666666667,,,,,
384,2,1,0.5,,,,,
385,3,1,0.333333333,,,,,
386,3,0,0,,,,,
387,2,3,1.5,,,,,
388,4,1,0.25,,,,,
389,2,3,1.5,,,,,
390,1,2,2,,,,,
391,5,3,0.6,,,,,
392,1,3,3,,,,,
393,10,3,0.3,,,,,
394,14,4,0.285714286,,,,,
395,8,4,0.5,,,,,
396,6,4,0.666666667,,,,,
397,5,3,0.6,,,,,
398,3,1,0.333333333,,,,,
399,4,5,1.25,,,,,
400,3,3,1,,,,,
401,3,3,1,,,,,
402,1,2,2,,,,,
403,2,1,0.5,,,,,
404,2,3,1.5,,,,,
405,0,0,.,,,,,
406,4,3,0.75,,,,,
407,6,5,0.833333333,,,,,
408,4,3,0.75,,,,,
409,4,3,0.75,,,,,
410,3,2,0.666666667,,,,,
411,6,2,0.333333333,,,,,
412,5,5,1,,,,,
413,4,5,1.25,,,,,
414,2,2,1,,,,,
415,5,5,1,,,,,
416,6,3,0.5,,,,,
417,1,0,0,,,,,
418,3,3,1,,,,,
419,4,4,1,,,,,
420,5,4,0.8,,,,,
421,2,1,0.5,,,,,
422,1,1,1,,,,,
424,2,5,2.5,,,,,
425,6,3,0.5,,,,,
426,3,2,0.666666667,,,,,
427,6,3,0.5,,,,,
428,2,2,1,,,,,
429,4,2,0.5,,,,,
430,8,4,0.5,,,,,
431,4,5,1.25,,,,,
432,7,4,0.571428571,,,,,
433,6,3,0.5,,,,,
434,4,3,0.75,,,,,
435,4,1,0.25,,,,,
436,9,2,0.222222222,,,,,
437,9,4,0.444444444,,,,,
438,6,0,0,,,,,
439,7,1,0.142857143,,,,,
440,5,4,0.8,,,,,
441,1,0,0,,,,,
442,5,0,0,,,,,
443,5,3,0.6,,,,,
444,3,0,0,,,,,
445,10,2,0.2,,,,,
446,8,2,0.25,,,,,
447,9,6,0.666666667,,,,,
448,5,3,0.6,,,,,
449,8,1,0.125,,,,,
450,6,4,0.666666667,,,,,
451,11,5,0.454545455,,,,,
452,6,0,0,,,,,
453,4,0,0,,,,,
454,7,1,0.142857143,,,,,
455,3,1,0.333333333,,,,,
456,0,1,.,,,,,
457,6,1,0.166666667,,,,,
458,5,3,0.6,,,,,
459,4,1,0.25,,,,,
460,5,1,0.2,,,,,
461,0,1,.,,,,,
462,11,3,0.272727273,,,,,
463,6,5,0.833333333,,,,,
464,6,4,0.666666667,,,,,
465,9,4,0.444444444,,,,,
466,4,7,1.75,,,,,
467,2,1,0.5,,,,,
468,2,0,0,,,,,
469,6,4,0.666666667,,,,,
470,6,5,0.833333333,,,,,
471,6,5,0.833333333,,,,,
472,5,3,0.6,,,,,
473,5,3,0.6,,,,,
474,5,2,0.4,,,,,
475,5,7,1.4,,,,,
476,8,5,0.625,,,,,
477,14,2,0.142857143,,,,,
478,6,1,0.166666667,,,,,
479,10,7,0.7,,,,,
480,5,1,0.2,,,,,
481,7,3,0.428571429,,,,,
482,6,4,0.666666667,,,,,
483,7,4,0.571428571,,,,,
484,9,4,0.444444444,,,,,
485,12,5,0.416666667,,,,,
486,7,7,1,,,,,
487,6,1,0.166666667,,,,,
489,6,3,0.5,,,,,
490,7,4,0.571428571,,,,,
491,8,7,0.875,,,,,
492,9,6,0.666666667,,,,,
493,7,4,0.571428571,,,,,
494,5,3,0.6,,,,,
495,3,2,0.666666667,,,,,
496,0,0,.,,,,,
497,1,0,0,,,,,
498,3,2,0.666666667,,,,,
499,4,1,0.25,,,,,
500,3,4,1.333333333,,,,,
501,3,1,0.333333333,,,,,
502,5,4,0.8,,,,,
503,1,3,3,,,,,
504,5,5,1,,,,,
505,4,2,0.5,,,,,
506,1,3,3,,,,,
507,5,3,0.6,,,,,
508,4,1,0.25,,,,,
509,0,2,.,,,,,
510,4,4,1,,,,,
511,3,2,0.666666667,,,,,
512,5,1,0.2,,,,,
513,3,2,0.666666667,,,,,
514,3,2,0.666666667,,,,,
515,4,1,0.25,,,,,
516,7,1,0.142857143,,,,,
517,4,1,0.25,,,,,
518,2,1,0.5,,,,,
519,4,2,0.5,,,,,
520,4,3,0.75,,,,,
521,3,3,1,,,,,
522,3,3,1,,,,,
523,5,2,0.4,,,,,
524,5,4,0.8,,,,,
525,3,2,0.666666667,,,,,
526,4,5,1.25,,,,,
527,4,1,0.25,,,,,
528,3,4,1.333333333,,,,,
529,1,2,2,,,,,
530,5,1,0.2,,,,,
531,5,3,0.6,,,,,
532,2,1,0.5,,,,,
533,2,2,1,,,,,
534,0,0,.,,,,,
535,3,0,0,,,,,
536,3,1,0.333333333,,,,,
537,5,1,0.2,,,,,
538,1,1,1,,,,,
539,4,3,0.75,,,,,
540,1,1,1,,,,,
541,5,2,0.4,,,,,
542,2,1,0.5,,,,,
543,2,0,0,,,,,
544,2,3,1.5,,,,,
545,4,2,0.5,,,,,
546,6,0,0,,,,,
547,5,1,0.2,,,,,
548,1,1,1,,,,,
549,1,0,0,,,,,
550,1,1,1,,,,,
551,0,2,.,,,,,
552,1,2,2,,,,,
553,3,0,0,,,,,
554,1,1,1,,,,,
555,3,3,1,,,,,
556,2,3,1.5,,,,,
557,8,5,0.625,,,,,
558,4,1,0.25,,,,,
559,7,4,0.571428571,,,,,
560,4,1,0.25,,,,,
561,8,2,0.25,,,,,
562,4,4,1,,,,,
563,3,4,1.333333333,,,,,
564,0,1,.,,,,,
565,5,1,0.2,,,,,
566,5,5,1,,,,,
567,3,5,1.666666667,,,,,
568,4,3,0.75,,,,,
569,1,0,0,,,,,
570,1,2,2,,,,,
571,6,3,0.5,,,,,
572,3,2,0.666666667,,,,,
573,4,2,0.5,,,,,
574,2,0,0,,,,,
575,3,3,1,,,,,
576,2,2,1,,,,,
577,6,1,0.166666667,,,,,
578,3,2,0.666666667,,,,,
579,2,4,2,,,,,
580,4,1,0.25,,,,,
581,3,3,1,,,,,
582,4,6,1.5,,,,,
583,2,4,2,,,,,
584,0,2,.,,,,,
585,2,3,1.5,,,,,
586,5,4,0.8,,,,,
587,2,3,1.5,,,,,
588,9,4,0.444444444,,,,,
589,8,4,0.5,,,,,
590,4,3,0.75,,,,,
591,3,2,0.666666667,,,,,
592,4,1,0.25,,,,,
593,5,4,0.8,,,,,
594,5,6,1.2,,,,,
595,3,0,0,,,,,
596,3,2,0.666666667,,,,,
597,5,4,0.8,,,,,
598,3,3,1,,,,,
599,2,4,2,,,,,
600,3,1,0.333333333,,,,,
601,8,8,1,,,,,
602,3,2,0.666666667,,,,,
603,3,1,0.333333333,,,,,
604,3,2,0.666666667,,,,,
605,4,3,0.75,,,,,
606,10,3,0.3,,,,,
607,6,2,0.333333333,,,,,
608,4,2,0.5,,,,,
609,4,1,0.25,,,,,
610,2,5,2.5,,,,,
611,2,3,1.5,,,,,
612,5,3,0.6,,,,,
613,1,0,0,,,,,
614,6,7,1.166666667,,,,,
615,9,1,0.111111111,,,,,
616,12,7,0.583333333,,,,,
617,7,4,0.571428571,,,,,
618,3,3,1,,,,,
619,1,2,2,,,,,
620,4,4,1,,,,,
621,3,2,0.666666667,,,,,
622,4,2,0.5,,,,,
623,5,3,0.6,,,,,
624,5,2,0.4,,,,,
625,3,5,1.666666667,,,,,
626,5,0,0,,,,,
627,13,4,0.307692308,,,,,
628,6,3,0.5,,,,,
629,4,1,0.25,,,,,
630,1,2,2,,,,,
631,5,2,0.4,,,,,
632,2,1,0.5,,,,,
633,2,3,1.5,,,,,
634,6,2,0.333333333,,,,,
635,2,3,1.5,,,,,
636,6,3,0.5,,,,,
637,4,5,1.25,,,,,
638,8,6,0.75,,,,,
639,2,3,1.5,,,,,
640,3,1,0.333333333,,,,,
641,3,1,0.333333333,,,,,
642,8,5,0.625,,,,,
643,6,3,0.5,,,,,
644,2,3,1.5,,,,,
645,4,4,1,,,,,
646,5,2,0.4,,,,,
647,6,3,0.5,,,,,
648,4,6,1.5,,,,,
649,9,4,0.444444444,,,,,
650,7,7,1,,,,,
651,5,4,0.8,,,,,
652,4,1,0.25,,,,,
653,6,6,1,,,,,
654,5,1,0.2,,,,,
655,5,6,1.2,,,,,
656,4,4,1,,,,,
657,3,1,0.333333333,,,,,
658,4,4,1,,,,,
659,7,2,0.285714286,,,,,
660,3,2,0.666666667,,,,,
661,2,4,2,,,,,
662,5,5,1,,,,,
663,5,1,0.2,,,,,
664,3,2,0.666666667,,,,,
665,8,5,0.625,,,,,
666,5,2,0.4,,,,,
667,2,3,1.5,,,,,
668,6,6,1,,,,,
669,6,4,0.666666667,,,,,
670,2,2,1,,,,,
671,0,2,.,,,,,
672,5,3,0.6,,,,,
673,4,4,1,,,,,
674,6,3,0.5,,,,,
675,5,3,0.6,,,,,
676,7,3,0.428571429,,,,,
677,2,3,1.5,,,,,
678,3,3,1,,,,,
679,5,5,1,,,,,
680,4,3,0.75,,,,,
681,11,6,0.545454545,,,,,
682,5,7,1.4,,,,,
683,2,3,1.5,,,,,
684,3,3,1,,,,,
685,7,7,1,,,,,
686,2,3,1.5,,,,,
687,3,1,0.333333333,,,,,
688,0,2,.,,,,,
689,5,3,0.6,,,,,
690,3,5,1.666666667,,,,,
691,7,4,0.571428571,,,,,
692,7,2,0.285714286,,,,,
693,4,1,0.25,,,,,
694,4,3,0.75,,,,,
695,2,1,0.5,,,,,
696,3,4,1.333333333,,,,,
697,4,4,1,,,,,
698,2,3,1.5,,,,,
699,3,4,1.333333333,,,,,
700,7,4,0.571428571,,,,,
701,1,4,4,,,,,
702,9,4,0.444444444,,,,,
703,7,4,0.571428571,,,,,
704,8,2,0.25,,,,,
705,7,0,0,,,,,
706,6,3,0.5,,,,,
707,7,2,0.285714286,,,,,
708,8,2,0.25,,,,,
709,4,1,0.25,,,,,
710,8,5,0.625,,,,,
712,7,0,0,,,,,
713,3,1,0.333333333,,,,,
714,10,0,0,,,,,
715,8,3,0.375,,,,,
716,7,2,0.285714286,,,,,
717,7,0,0,,,,,
718,10,1,0.1,,,,,
719,12,4,0.333333333,,,,,
720,9,1,0.111111111,,,,,
721,4,1,0.25,,,,,
722,7,2,0.285714286,,,,,
724,8,3,0.375,,,,,
726,5,0,0,,,,,
727,6,2,0.333333333,,,,,
728,9,2,0.222222222,,,,,
729,8,3,0.375,,,,,
730,2,1,0.5,,,,,
731,8,1,0.125,,,,,
732,7,1,0.142857143,,,,,
733,3,0,0,,,,,
734,12,2,0.166666667,,,,,
735,11,2,0.181818182,,,,,
736,8,1,0.125,,,,,
737,8,5,0.625,,,,,
738,8,1,0.125,,,,,
739,9,4,0.444444444,,,,,
741,6,3,0.5,,,,,
742,5,2,0.4,,,,,
743,9,3,0.333333333,,,,,
744,6,0,0,,,,,
745,13,2,0.153846154,,,,,
746,0,1,.,,,,,
747,6,3,0.5,,,,,
748,9,4,0.444444444,,,,,
749,6,3,0.5,,,,,
750,10,4,0.4,,,,,
751,7,3,0.428571429,,,,,
752,9,9,1,,,,,
753,11,4,0.363636364,,,,,
754,10,2,0.2,,,,,
755,13,3,0.230769231,,,,,
756,7,3,0.428571429,,,,,
757,9,2,0.222222222,,,,,
760,5,1,0.2,,,,,
761,7,5,0.714285714,,,,,
762,6,2,0.333333333,,,,,
764,9,4,0.444444444,,,,,
766,7,1,0.142857143,,,,,
768,4,0,0,,,,,
769,3,0,0,,,,,
770,8,1,0.125,,,,,
771,3,4,1.333333333,,,,,
772,1,2,2,,,,,
773,2,2,1,,,,,
774,4,5,1.25,,,,,
775,7,3,0.428571429,,,,,
776,5,2,0.4,,,,,
777,0,0,.,,,,,
778,2,0,0,,,,,
779,10,0,0,,,,,
780,0,0,.,,,,,
781,7,4,0.571428571,,,,,
782,1,1,1,,,,,
783,4,0,0,,,,,
784,8,0,0,,,,,
785,6,0,0,,,,,
786,1,0,0,,,,,
787,1,0,0,,,,,
788,5,3,0.6,,,,,
789,6,4,0.666666667,,,,,
790,8,1,0.125,,,,,
791,4,5,1.25,,,,,
792,6,3,0.5,,,,,
793,6,2,0.333333333,,,,,
794,5,1,0.2,,,,,
795,2,0,0,,,,,
796,6,0,0,,,,,
797,4,0,0,,,,,
798,6,0,0,,,,,
799,8,0,0,,,,,
801,2,1,0.5,,,,,
802,4,2,0.5,,,,,
803,5,1,0.2,,,,,
804,3,2,0.666666667,,,,,
805,4,1,0.25,,,,,
806,4,5,1.25,,,,,
807,4,0,0,,,,,
808,6,7,1.166666667,,,,,
809,5,5,1,,,,,
810,5,2,0.4,,,,,
811,4,5,1.25,,,,,
812,6,3,0.5,,,,,
813,4,3,0.75,,,,,
814,6,3,0.5,,,,,
815,5,5,1,,,,,
816,5,6,1.2,,,,,
817,6,2,0.333333333,,,,,
818,4,2,0.5,,,,,
819,6,3,0.5,,,,,
820,8,1,0.125,,,,,
821,4,3,0.75,,,,,
822,8,3,0.375,,,,,
823,5,6,1.2,,,,,
824,4,1,0.25,,,,,
825,2,3,1.5,,,,,
826,5,4,0.8,,,,,
827,5,3,0.6,,,,,
828,2,3,1.5,,,,,
829,5,4,0.8,,,,,
830,4,4,1,,,,,
831,6,3,0.5,,,,,
832,9,4,0.444444444,,,,,
833,9,4,0.444444444,,,,,
834,6,5,0.833333333,,,,,
835,7,3,0.428571429,,,,,
836,4,3,0.75,,,,,
837,2,1,0.5,,,,,
838,3,6,2,,,,,
839,5,3,0.6,,,,,
840,3,5,1.666666667,,,,,
841,1,3,3,,,,,
842,4,3,0.75,,,,,
843,7,6,0.857142857,,,,,
844,3,2,0.666666667,,,,,
845,3,2,0.666666667,,,,,
846,6,3,0.5,,,,,
847,4,2,0.5,,,,,
848,4,6,1.5,,,,,
849,2,3,1.5,,,,,
850,6,7,1.166666667,,,,,
851,6,3,0.5,,,,,
852,7,5,0.714285714,,,,,
853,10,7,0.7,,,,,
854,2,4,2,,,,,
855,6,3,0.5,,,,,
856,7,4,0.571428571,,,,,
857,2,1,0.5,,,,,
858,7,5,0.714285714,,,,,
859,9,7,0.777777778,,,,,
860,3,5,1.666666667,,,,,
861,2,2,1,,,,,
862,3,2,0.666666667,,,,,
863,4,4,1,,,,,
864,3,5,1.666666667,,,,,
865,7,6,0.857142857,,,,,
866,4,2,0.5,,,,,
867,4,4,1,,,,,
868,11,6,0.545454545,,,,,
869,9,4,0.444444444,,,,,
870,8,3,0.375,,,,,
871,5,4,0.8,,,,,
872,6,2,0.333333333,,,,,
873,7,2,0.285714286,,,,,
874,9,4,0.444444444,,,,,
875,7,4,0.571428571,,,,,
876,5,2,0.4,,,,,
877,12,8,0.666666667,,,,,
878,9,3,0.333333333,,,,,
879,7,6,0.857142857,,,,,
880,5,6,1.2,,,,,
881,6,4,0.666666667,,,,,
882,5,6,1.2,,,,,
883,9,4,0.444444444,,,,,
884,5,4,0.8,,,,,
885,2,4,2,,,,,
886,7,5,0.714285714,,,,,
887,9,2,0.222222222,,,,,
888,5,7,1.4,,,,,
889,6,3,0.5,,,,,
890,11,7,0.636363636,,,,,
891,8,5,0.625,,,,,
892,12,6,0.5,,,,,
893,5,4,0.8,,,,,
894,11,6,0.545454545,,,,,
895,5,3,0.6,,,,,
896,8,4,0.5,,,,,
897,7,3,0.428571429,,,,,
898,3,5,1.666666667,,,,,
899,10,5,0.5,,,,,
900,8,5,0.625,,,,,
901,7,5,0.714285714,,,,,
902,9,6,0.666666667,,,,,
903,8,6,0.75,,,,,
904,10,4,0.4,,,,,
905,8,2,0.25,,,,,
906,3,2,0.666666667,,,,,
907,5,6,1.2,,,,,
