Cluster,allteenagers,teenagepregnancy,
202,1,0,0
203,1,0,0
204,0,0,.
205,0,0,.
206,2,0,0
207,0,0,.
208,2,0,0
209,3,2,0.666666667
210,4,1,0.25
211,9,2,0.222222222
212,4,0,0
213,3,0,0
214,1,0,0
215,8,0,0
216,5,1,0.2
217,4,2,0.5
218,8,4,0.5
219,1,0,0
220,10,1,0.1
221,11,0,0
222,6,2,0.333333333
223,10,0,0
224,8,0,0
225,6,1,0.166666667
226,3,0,0
227,8,0,0
228,14,4,0.285714286
229,6,1,0.166666667
230,1,0,0
231,2,1,0.5
232,2,0,0
233,6,1,0.166666667
234,5,1,0.2
235,6,2,0.333333333
236,2,0,0
237,12,4,0.333333333
238,4,2,0.5
239,13,1,0.076923077
240,0,0,.
241,4,0,0
242,8,0,0
243,5,0,0
244,6,0,0
245,1,0,0
246,5,0,0
247,1,1,1
248,2,0,0
249,5,0,0
250,8,0,0
251,1,0,0
252,3,0,0
253,5,0,0
254,21,1,0.047619048
255,6,1,0.166666667
256,6,0,0
257,8,0,0
258,9,0,0
259,2,0,0
260,18,2,0.111111111
261,9,3,0.333333333
262,11,1,0.090909091
263,9,0,0
264,14,0,0
265,8,0,0
266,10,3,0.3
267,9,2,0.222222222
268,7,0,0
269,6,0,0
270,1,0,0
271,4,0,0
272,2,0,0
273,0,0,.
274,10,1,0.1
275,1,0,0
276,5,3,0.6
277,3,1,0.333333333
278,2,2,1
279,1,0,0
280,2,0,0
281,5,0,0
282,1,0,0
283,4,1,0.25
284,5,2,0.4
285,2,0,0
286,5,0,0
287,2,0,0
288,0,0,.
289,6,0,0
290,10,2,0.2
291,3,2,0.666666667
292,4,1,0.25
293,8,0,0
294,6,0,0
295,9,1,0.111111111
296,5,2,0.4
297,2,0,0
298,3,1,0.333333333
299,9,1,0.111111111
300,9,1,0.111111111
301,12,2,0.166666667
302,6,0,0
303,9,0,0
304,3,1,0.333333333
305,8,0,0
307,2,0,0
308,8,1,0.125
309,6,0,0
310,8,1,0.125
311,1,1,1
312,1,1,1
313,1,0,0
314,2,2,1
315,5,1,0.2
316,2,0,0
317,4,2,0.5
318,3,0,0
319,1,1,1
320,2,0,0
321,2,0,0
322,3,1,0.333333333
323,4,1,0.25
324,3,1,0.333333333
325,1,1,1
326,1,0,0
327,6,2,0.333333333
328,2,0,0
329,4,1,0.25
330,5,0,0
331,5,0,0
332,3,0,0
333,5,1,0.2
334,0,0,.
335,5,1,0.2
336,3,1,0.333333333
337,4,3,0.75
338,1,0,0
339,3,0,0
340,0,0,.
341,4,1,0.25
342,3,1,0.333333333
343,0,0,.
344,7,1,0.142857143
345,6,1,0.166666667
346,4,1,0.25
347,3,1,0.333333333
348,10,2,0.2
349,2,0,0
350,5,3,0.6
351,5,1,0.2
352,4,0,0
353,4,2,0.5
354,3,0,0
355,4,0,0
356,4,0,0
357,4,0,0
358,3,0,0
359,1,0,0
360,1,1,1
361,8,2,0.25
362,7,0,0
363,0,0,.
364,0,0,.
365,0,0,.
366,6,0,0
367,5,1,0.2
368,2,0,0
369,2,2,1
370,1,0,0
371,1,0,0
372,4,0,0
373,4,0,0
374,1,1,1
375,4,0,0
376,5,2,0.4
377,0,0,.
378,3,0,0
379,2,0,0
380,0,0,.
381,0,0,.
382,3,2,0.666666667
383,8,3,0.375
384,8,2,0.25
385,7,2,0.285714286
386,2,0,0
387,2,0,0
388,4,2,0.5
389,10,2,0.2
390,2,1,0.5
391,0,0,.
392,1,0,0
393,3,2,0.666666667
394,6,2,0.333333333
395,0,0,.
396,1,0,0
397,1,0,0
398,0,0,.
399,3,0,0
400,2,0,0
401,2,0,0
402,2,1,0.5
403,1,0,0
404,2,1,0.5
405,0,0,.
406,3,0,0
407,4,0,0
408,1,0,0
409,5,1,0.2
410,5,1,0.2
411,7,1,0.142857143
412,6,0,0
413,3,1,0.333333333
414,6,2,0.333333333
415,3,0,0
416,1,1,1
417,4,1,0.25
418,3,0,0
419,0,0,.
420,1,0,0
421,4,0,0
422,3,0,0
423,6,0,0
424,4,0,0
425,4,1,0.25
426,0,0,.
427,0,0,.
428,4,0,0
429,3,1,0.333333333
430,2,1,0.5
431,3,0,0
432,2,0,0
433,1,0,0
434,1,0,0
435,1,0,0
436,1,0,0
437,1,0,0
438,3,1,0.333333333
439,1,0,0
440,2,1,0.5
441,1,0,0
442,3,0,0
443,2,0,0
444,1,0,0
445,2,0,0
446,1,0,0
447,2,0,0
448,1,1,1
449,2,1,0.5
450,1,0,0
451,0,0,.
452,2,0,0
453,1,0,0
454,2,0,0
455,0,0,.
456,1,0,0
457,2,0,0
458,1,0,0
459,1,0,0
460,3,0,0
461,3,0,0
462,1,0,0
463,1,0,0
464,5,0,0
465,2,0,0
466,5,0,0
467,0,0,.
468,1,0,0
469,5,0,0
470,3,1,0.333333333
471,2,1,0.5
472,3,0,0
473,0,0,.
474,2,1,0.5
475,2,1,0.5
476,2,1,0.5
477,1,0,0
478,3,1,0.333333333
479,5,1,0.2
480,4,0,0
481,2,0,0
482,5,0,0
483,1,0,0
484,1,0,0
485,1,0,0
486,2,1,0.5
487,7,0,0
488,5,1,0.2
489,1,0,0
490,1,0,0
491,1,0,0
492,2,0,0
493,3,0,0
494,4,1,0.25
495,4,0,0
496,9,0,0
497,4,0,0
498,2,0,0
499,0,0,.
500,1,0,0
501,4,0,0
502,4,0,0
503,2,0,0
504,7,1,0.142857143
505,6,1,0.166666667
506,6,0,0
507,8,3,0.375
508,2,0,0
509,10,2,0.2
510,3,0,0
511,1,0,0
512,1,0,0
513,8,0,0
514,6,1,0.166666667
515,2,0,0
516,6,1,0.166666667
517,1,0,0
518,2,0,0
519,5,1,0.2
520,1,0,0
521,5,1,0.2
522,4,0,0
523,0,0,.
524,5,0,0
525,3,0,0
526,3,0,0
527,0,0,.
528,3,0,0
529,4,0,0
530,1,0,0
531,8,0,0
532,1,0,0
533,3,0,0
534,2,0,0
535,2,0,0
536,3,0,0
537,5,0,0
538,0,0,.
539,3,0,0
540,0,0,.
541,2,1,0.5
542,2,0,0
543,0,0,.
544,6,0,0
545,2,0,0
546,3,0,0
547,9,2,0.222222222
548,1,0,0
549,6,0,0
550,4,0,0
551,2,0,0
552,4,1,0.25
553,5,3,0.6
554,4,2,0.5
555,8,1,0.125
556,5,1,0.2
557,9,2,0.222222222
558,0,0,.
559,7,0,0
560,2,0,0
561,7,0,0
562,0,0,.
563,2,0,0
564,7,0,0
565,7,0,0
566,12,1,0.083333333
567,4,2,0.5
568,7,1,0.142857143
569,3,0,0
570,3,1,0.333333333
571,2,0,0
572,4,1,0.25
573,4,1,0.25
574,2,0,0
575,4,0,0
576,2,0,0
577,0,0,.
578,2,0,0
579,6,0,0
580,4,1,0.25
581,1,0,0
582,7,1,0.142857143
583,6,2,0.333333333
584,3,0,0
585,4,1,0.25
586,11,0,0
587,2,0,0
588,2,0,0
589,6,1,0.166666667
590,6,0,0
591,2,0,0
592,3,1,0.333333333
593,3,0,0
594,4,1,0.25
595,0,0,.
596,1,0,0
597,4,0,0
598,4,0,0
599,1,0,0
600,2,0,0
601,1,0,0
602,3,0,0
603,11,1,0.090909091
604,5,1,0.2
605,4,0,0
606,6,0,0
607,1,0,0
608,9,1,0.111111111
609,6,0,0
610,0,0,.
611,8,0,0
612,2,0,0
613,7,0,0
614,6,0,0
615,1,0,0
616,5,1,0.2
617,4,0,0
618,5,0,0
619,1,0,0
620,4,0,0
621,4,0,0
622,3,2,0.666666667
623,4,1,0.25
624,2,0,0
625,0,0,.
626,4,0,0
627,3,0,0
628,2,0,0
629,4,0,0
630,3,0,0
631,1,0,0
632,0,0,.
633,2,1,0.5
634,1,0,0
635,1,0,0
636,1,0,0
637,1,0,0
638,1,0,0
639,2,0,0
640,3,1,0.333333333
641,5,0,0
642,1,0,0
643,6,0,0
644,3,0,0
645,2,0,0
646,1,0,0
647,5,0,0
648,1,0,0
649,1,0,0
650,1,0,0
651,1,0,0
652,4,0,0
653,1,0,0
654,2,0,0
655,5,1,0.2
656,4,0,0
657,1,0,0
658,5,0,0
659,1,0,0
660,0,0,.
661,1,0,0
662,2,0,0
663,1,0,0
664,0,0,.
665,0,0,.
666,1,0,0
667,1,0,0
668,1,0,0
669,4,1,0.25
670,0,0,.
671,3,0,0
672,4,0,0
673,2,0,0
674,0,0,.
675,2,0,0
676,4,1,0.25
677,2,0,0
678,3,0,0
679,1,0,0
680,2,0,0
681,1,0,0
682,2,0,0
683,3,0,0
684,1,0,0
685,2,1,0.5
686,0,0,.
687,1,0,0
688,2,1,0.5
689,1,1,1
690,4,0,0
691,1,1,1
692,5,0,0
693,2,0,0
694,2,0,0
695,6,0,0
696,5,0,0
697,3,0,0
698,5,0,0
699,2,0,0
700,4,1,0.25
701,1,0,0
702,1,0,0
703,2,1,0.5
704,1,0,0
705,5,0,0
706,0,0,.
707,2,0,0
708,5,0,0
709,3,0,0
710,3,0,0
711,2,0,0
712,3,0,0
713,4,0,0
714,2,0,0
715,2,0,0
716,4,0,0
717,3,0,0
718,5,3,0.6
719,0,0,.
720,2,0,0
721,2,0,0
722,4,1,0.25
723,3,0,0
724,3,0,0
725,4,0,0
726,6,0,0
727,3,0,0
728,1,0,0
729,5,0,0
730,1,0,0
731,7,1,0.142857143
732,3,1,0.333333333
733,3,1,0.333333333
734,2,0,0
735,5,1,0.2
736,1,0,0
737,5,0,0
738,3,1,0.333333333
739,0,0,.
740,4,0,0
741,3,0,0
742,1,0,0
743,1,0,0
744,2,1,0.5
745,3,0,0
746,0,0,.
747,6,1,0.166666667
748,2,0,0
749,1,0,0
750,1,0,0
751,3,0,0
752,0,0,.
753,2,0,0
754,1,1,1
755,2,1,0.5
756,2,0,0
757,2,1,0.5
758,1,0,0
759,5,0,0
760,0,0,.
761,2,0,0
762,0,0,.
763,2,0,0
764,0,0,.
765,1,0,0
766,1,0,0
767,6,1,0.166666667
768,3,0,0
769,0,0,.
770,2,0,0
771,0,0,.
772,1,0,0
773,1,0,0
774,3,0,0
775,5,3,0.6
776,5,0,0
777,2,0,0
778,2,0,0
779,1,1,1
780,2,0,0
781,5,0,0
782,3,2,0.666666667
783,4,0,0
784,8,2,0.25
785,2,1,0.5
786,3,0,0
787,5,1,0.2
788,2,1,0.5
789,4,2,0.5
790,1,0,0
791,5,1,0.2
792,3,1,0.333333333
793,3,0,0
794,4,0,0
795,5,1,0.2
796,0,0,.
797,2,0,0
798,3,0,0
799,4,1,0.25
800,3,1,0.333333333
801,5,2,0.4
802,3,0,0
803,0,0,.
804,10,4,0.4
805,7,1,0.142857143
806,1,0,0
807,2,1,0.5
808,2,0,0
809,2,0,0
810,1,1,1
811,5,0,0
812,1,0,0
813,3,1,0.333333333
814,8,3,0.375
815,10,5,0.5
816,9,2,0.222222222
817,4,1,0.25
818,11,3,0.272727273
819,4,0,0
820,3,2,0.666666667
821,4,2,0.5
822,4,3,0.75
823,2,1,0.5
824,3,2,0.666666667
825,2,0,0
826,0,0,.
827,6,5,0.833333333
828,3,3,1
829,2,0,0
830,0,0,.
831,4,1,0.25
832,4,3,0.75
833,12,2,0.166666667
834,4,2,0.5
835,5,2,0.4
836,3,0,0
837,3,2,0.666666667
838,4,0,0
839,3,1,0.333333333
840,7,1,0.142857143
841,6,4,0.666666667
842,4,0,0
843,7,1,0.142857143
844,2,1,0.5
845,9,1,0.111111111
846,7,2,0.285714286
847,6,4,0.666666667
848,1,0,0
849,0,0,.
850,4,1,0.25
851,1,1,1
852,3,0,0
853,9,4,0.444444444
854,2,0,0
855,2,0,0
856,5,2,0.4
857,3,2,0.666666667
858,5,3,0.6
859,8,4,0.5
860,2,0,0
861,3,2,0.666666667
862,3,3,1
863,2,1,0.5
864,3,2,0.666666667
865,9,2,0.222222222
866,6,4,0.666666667
867,1,0,0
868,7,2,0.285714286
869,4,0,0
870,2,1,0.5
871,1,1,1
872,1,0,0
873,2,0,0
874,1,0,0
875,2,0,0
876,4,3,0.75
877,4,4,1
878,5,3,0.6
879,3,2,0.666666667
880,7,1,0.142857143
881,6,1,0.166666667
882,5,0,0
883,7,1,0.142857143
884,1,0,0
885,2,0,0
886,1,0,0
887,2,0,0
888,6,1,0.166666667
889,8,1,0.125
890,3,1,0.333333333
891,2,1,0.5
892,3,2,0.666666667
893,8,1,0.125
894,1,0,0
895,0,0,.
896,5,0,0
897,4,1,0.25
898,7,0,0
899,5,0,0
900,5,0,0
901,5,1,0.2
902,12,2,0.166666667
903,8,2,0.25
904,5,1,0.2
905,0,0,.
906,1,0,0
907,7,1,0.142857143
908,1,0,0
909,3,2,0.666666667
910,1,1,1
911,6,1,0.166666667
912,5,1,0.2
913,8,1,0.125
914,3,0,0
915,1,0,0
916,1,0,0
917,1,0,0
918,1,0,0
919,1,0,0
920,0,0,.
921,0,0,.
922,8,0,0
923,1,0,0
924,1,0,0
925,5,0,0
926,4,0,0
927,4,0,0
928,3,0,0
929,3,0,0
930,3,1,0.333333333
931,4,1,0.25
932,5,0,0
933,6,1,0.166666667
934,3,0,0
935,5,0,0
936,3,0,0
937,6,1,0.166666667
938,1,0,0
939,2,0,0
940,9,2,0.222222222
941,2,0,0
942,7,2,0.285714286
943,7,1,0.142857143
944,4,0,0
945,3,0,0
946,3,2,0.666666667
947,1,0,0
948,4,0,0
949,0,0,.
950,4,0,0
951,1,0,0
952,4,1,0.25
953,0,0,.
954,3,0,0
955,0,0,.
956,1,0,0
957,3,0,0
958,4,0,0
959,3,1,0.333333333
960,2,0,0
961,1,0,0
962,2,0,0
963,3,0,0
964,4,0,0
965,0,0,.
966,3,1,0.333333333
967,2,1,0.5
968,2,1,0.5
969,0,0,.
970,5,0,0
971,2,0,0
972,3,0,0
973,1,1,1
974,1,0,0
975,6,1,0.166666667
976,2,0,0
977,9,2,0.222222222
978,0,0,.
979,5,1,0.2
980,3,0,0
981,4,0,0
982,4,0,0
983,3,0,0
984,3,0,0
985,1,0,0
986,10,0,0
987,1,0,0
988,5,0,0
989,8,3,0.375
990,1,0,0
991,3,0,0
992,7,0,0
993,4,0,0
994,4,0,0
995,2,1,0.5
996,4,0,0
997,1,1,1
998,2,0,0
999,4,0,0
1000,5,0,0
1001,5,0,0
1002,2,1,0.5
1003,4,0,0
1004,1,0,0
1005,2,0,0
1006,2,0,0
1007,3,0,0
1008,1,0,0
1009,6,0,0
1010,2,0,0
1011,5,2,0.4
1012,3,2,0.666666667
1013,6,0,0
1014,9,0,0
1015,6,3,0.5
1016,4,0,0
1017,5,1,0.2
1018,2,0,0
1019,5,1,0.2
1020,4,0,0
1021,2,1,0.5
1022,0,0,.
1023,1,0,0
1024,2,0,0
1025,5,1,0.2
1026,6,0,0
1027,7,0,0
1028,7,1,0.142857143
1029,6,2,0.333333333
1030,2,0,0
1031,7,1,0.142857143
1032,9,1,0.111111111
1033,5,2,0.4
1034,6,2,0.333333333
1035,3,1,0.333333333
1036,1,0,0
1037,4,0,0
1038,1,0,0
1039,3,0,0
1040,2,0,0
1041,2,0,0
1042,0,0,.
1043,4,0,0
1044,2,0,0
1045,2,0,0
1046,3,0,0
1047,6,2,0.333333333
1048,14,5,0.357142857
1049,9,1,0.111111111
1050,3,0,0
1051,4,1,0.25
1052,5,1,0.2
1053,3,1,0.333333333
1054,5,3,0.6
1055,2,0,0
1056,1,0,0
1057,2,0,0
1058,7,2,0.285714286
1059,1,1,1
1060,9,0,0
1061,3,0,0
1062,4,0,0
1063,3,0,0
1064,0,0,.
1065,2,0,0
1066,2,0,0
1067,2,1,0.5
1068,0,0,.
1069,4,0,0
1070,3,0,0
1071,8,0,0
1072,3,0,0
1073,0,0,.
1074,3,1,0.333333333
1075,1,1,1
1076,11,2,0.181818182
1077,6,1,0.166666667
1078,4,1,0.25
1079,6,0,0
1080,3,0,0
1081,4,0,0
1082,3,0,0
1083,6,0,0
1084,2,0,0
1085,5,2,0.4
1086,5,0,0
1087,1,0,0
1088,6,0,0
1089,5,0,0
1090,2,1,0.5
1091,1,0,0
1092,5,0,0
1093,7,0,0
1094,0,0,.
1095,4,2,0.5
1096,3,0,0
1097,8,2,0.25
1098,2,0,0
1099,4,2,0.5
1100,1,0,0
1101,3,0,0
1102,3,0,0
1103,2,0,0
1104,1,0,0
1105,5,3,0.6
1106,2,0,0
1107,3,0,0
1108,1,0,0
1109,4,0,0
1110,8,0,0
1111,2,0,0
1112,7,2,0.285714286
1113,2,2,1
1114,4,0,0
1115,2,0,0
1116,3,1,0.333333333
1117,0,0,.
1118,2,0,0
1119,5,0,0
1120,5,3,0.6
1121,2,0,0
1122,3,0,0
1123,10,3,0.3
1124,0,0,.
1125,1,0,0
1126,7,1,0.142857143
1127,3,0,0
1128,8,2,0.25
1129,6,3,0.5
1130,14,5,0.357142857
1131,2,0,0
1132,2,0,0
1133,7,4,0.571428571
1134,3,1,0.333333333
1135,4,0,0
1136,4,1,0.25
1137,0,0,.
1138,8,0,0
1139,5,0,0
1140,1,0,0
1141,3,0,0
1142,7,4,0.571428571
1143,9,2,0.222222222
1144,4,1,0.25
1145,1,1,1
1146,3,1,0.333333333
1147,7,2,0.285714286
1148,0,0,.
1149,5,1,0.2
1150,5,1,0.2
1151,3,0,0
1152,4,1,0.25
1153,0,0,.
1154,4,3,0.75
1155,5,1,0.2
1156,9,0,0
1157,8,1,0.125
1158,6,1,0.166666667
1159,8,1,0.125
1160,6,3,0.5
1161,7,3,0.428571429
1162,5,1,0.2
1163,6,1,0.166666667
1164,2,2,1
1165,1,0,0
1166,1,1,1
1167,4,2,0.5
1168,0,0,.
1169,1,1,1
1170,1,1,1
1171,0,0,.
1172,1,0,0
1173,5,0,0
1174,1,0,0
1175,1,1,1
1176,1,0,0
1177,1,0,0
1178,2,0,0
1179,2,0,0
1180,1,0,0
1181,3,0,0
1182,1,0,0
1183,2,1,0.5
1184,4,0,0
1185,1,0,0
1186,4,0,0
1187,0,0,.
1188,3,0,0
1189,1,0,0
1190,7,1,0.142857143
1191,4,1,0.25
1192,3,3,1
1193,2,2,1
1194,2,0,0
1195,1,0,0
1196,1,1,1
1197,1,0,0
1198,6,1,0.166666667
1199,0,0,.
1200,1,0,0
1201,3,1,0.333333333
1202,1,0,0
1203,5,2,0.4
1204,3,1,0.333333333
1205,0,0,.
1206,7,1,0.142857143
1207,4,0,0
1208,8,1,0.125
1209,5,1,0.2
1210,2,0,0
1211,1,0,0
1212,2,0,0
1213,5,2,0.4
1214,5,0,0
1215,2,0,0
1216,4,2,0.5
1217,5,1,0.2
1218,2,0,0
1219,7,3,0.428571429
1220,1,0,0
1221,3,1,0.333333333
1222,1,0,0
1223,3,1,0.333333333
1224,4,0,0
1225,5,0,0
1226,5,0,0
1227,1,0,0
1228,7,1,0.142857143
1229,4,0,0
1230,4,1,0.25
1231,6,0,0
1232,5,0,0
1233,3,1,0.333333333
1234,4,0,0
1235,5,0,0
1236,5,0,0
1237,4,0,0
1238,4,0,0
1239,8,0,0
1240,4,0,0
1241,5,2,0.4
1242,0,0,.
1243,7,1,0.142857143
1244,11,1,0.090909091
1245,6,0,0
1246,7,1,0.142857143
1247,9,1,0.111111111
1248,2,0,0
1249,4,0,0
1250,4,0,0
1251,4,1,0.25
1252,2,0,0
1253,3,0,0
1254,5,0,0
1255,5,0,0
1256,12,0,0
1257,7,0,0
1258,6,0,0
1259,7,0,0
1260,3,0,0
1261,6,0,0
1262,0,0,.
1263,4,1,0.25
1264,2,0,0
1265,5,1,0.2
1266,7,2,0.285714286
1267,2,0,0
1268,5,1,0.2
1269,6,0,0
1270,0,0,.
1271,0,0,.
1272,5,1,0.2
1273,6,1,0.166666667
1274,5,0,0
1275,10,3,0.3
1276,8,1,0.125
1277,2,0,0
1278,4,1,0.25
1279,3,0,0
1280,2,1,0.5
1281,1,0,0
1282,5,1,0.2
1283,4,0,0
1284,0,0,.
1285,1,0,0
1286,4,1,0.25
1287,6,1,0.166666667
1288,4,2,0.5
1289,3,0,0
1290,3,0,0
1291,4,0,0
1292,5,0,0
1293,9,2,0.222222222
1294,5,2,0.4
1295,8,0,0
1296,6,1,0.166666667
1297,2,0,0
1298,2,0,0
1299,12,3,0.25
1300,8,2,0.25
1301,4,0,0
1302,7,0,0
1303,9,0,0
1304,5,0,0
1305,6,1,0.166666667
1306,4,1,0.25
1307,3,0,0
1308,10,0,0
1309,7,1,0.142857143
1310,12,2,0.166666667
1311,7,3,0.428571429
1312,3,0,0
1313,4,0,0
1314,4,0,0
1315,5,0,0
1316,8,1,0.125
1317,6,0,0
1318,6,0,0
1319,5,0,0
1320,9,1,0.111111111
1321,8,1,0.125
1322,9,0,0
1323,6,1,0.166666667
1324,2,1,0.5
1325,3,0,0
1326,4,0,0
1327,4,0,0
1328,4,0,0
1329,2,0,0
1330,11,2,0.181818182
1331,8,0,0
1332,3,0,0
1333,8,0,0
1334,4,0,0
1335,9,0,0
1336,5,3,0.6
1337,11,0,0
1338,11,3,0.272727273
1339,5,0,0
1340,8,3,0.375
1341,8,1,0.125
1342,11,0,0
1343,7,1,0.142857143
1344,8,0,0
1345,8,0,0
1346,8,1,0.125
1347,14,1,0.071428571
1348,5,2,0.4
1349,15,3,0.2
1350,4,0,0
1351,4,1,0.25
1352,3,0,0
1353,12,1,0.083333333
1354,2,0,0
1355,5,4,0.8
1356,2,1,0.5
1357,4,1,0.25
1358,5,3,0.6
1359,4,0,0
1360,12,0,0
1361,7,0,0
1362,0,0,.
1363,1,1,1
1364,4,2,0.5
1365,2,0,0
1366,4,1,0.25
1367,3,0,0
1368,6,0,0
1369,7,3,0.428571429
1370,2,0,0
1371,5,0,0
1372,4,0,0
1373,8,2,0.25
1374,3,3,1
1375,11,3,0.272727273
1376,0,0,.
1377,9,2,0.222222222
1378,5,1,0.2
1379,6,0,0
1380,14,1,0.071428571
1381,5,0,0
1382,4,0,0
1383,4,1,0.25
1384,2,0,0
1385,7,2,0.285714286
1386,7,1,0.142857143
1387,5,1,0.2
1388,6,2,0.333333333
1389,5,1,0.2
1390,3,0,0
1391,1,0,0
1392,3,0,0
1393,7,1,0.142857143
1394,7,2,0.285714286
1395,10,2,0.2
1396,3,1,0.333333333
1397,4,0,0
1398,4,1,0.25
1399,16,4,0.25
1400,4,1,0.25
1401,2,1,0.5
1402,7,1,0.142857143
1403,5,1,0.2
1404,3,0,0
1405,6,1,0.166666667
1406,1,0,0
1407,2,0,0
1408,7,0,0
1409,0,0,.
1410,6,1,0.166666667
1411,7,0,0
1412,8,0,0
1413,2,0,0
1414,3,2,0.666666667
1415,2,1,0.5
1416,7,0,0
1417,5,0,0
1418,9,1,0.111111111
1419,6,1,0.166666667
1420,4,0,0
1421,4,0,0
1422,6,0,0
1423,5,1,0.2
1424,8,3,0.375
1425,4,1,0.25
1426,3,1,0.333333333
1427,4,0,0
1428,2,0,0
1429,6,0,0
1430,5,2,0.4
1431,2,1,0.5
1432,4,0,0
1433,4,0,0
1434,5,1,0.2
1435,2,1,0.5
1436,6,1,0.166666667
1437,4,0,0
1438,4,1,0.25
1439,4,1,0.25
1440,2,0,0
1441,3,1,0.333333333
1442,3,0,0
1443,3,2,0.666666667
1444,5,1,0.2
1445,2,1,0.5
1446,4,0,0
1447,3,1,0.333333333
1448,7,1,0.142857143
1449,3,0,0
1450,6,1,0.166666667
1451,5,3,0.6
1452,5,1,0.2
1453,8,2,0.25
1454,2,0,0
1455,6,0,0
1456,5,1,0.2
1457,0,0,.
1458,1,1,1
1459,3,1,0.333333333
1460,4,2,0.5
1461,3,0,0
1462,1,0,0
1463,0,0,.
1464,3,1,0.333333333
1465,1,0,0
1466,2,1,0.5
1467,0,0,.
1468,2,0,0
1469,3,0,0
1470,10,1,0.1
1471,6,0,0
1472,9,0,0
1473,5,0,0
1474,2,0,0
1475,3,0,0
1476,5,0,0
1477,6,1,0.166666667
1478,3,1,0.333333333
1479,8,2,0.25
1480,0,0,.
1481,0,0,.
1482,4,2,0.5
1483,5,0,0
1484,3,1,0.333333333
1485,2,0,0
1486,7,0,0
1487,5,0,0
1488,7,0,0
1489,12,2,0.166666667
1490,8,0,0
1491,4,1,0.25
1492,1,1,1
1493,2,0,0
1494,6,0,0
