Definition: ,Percentage of women with a live birth or a stillbirth in the last 2 years who took iron tablets or syrup during their most recent pregnancy.,,,,,,,
Denominator,Women who have had a live birth or a stillbirth in the 2 years preceding the survey (m80 = 1 or 3 & p19 < 24),,,,,,,
,,,,,,,,
Average,0.909217033,,National weighted average,,91.9,,DHS report,90.2
,,,,,,,,
,,,,,,,,
v001,birthsw,ironsuppl,,,,,,
219,0,0,.,,,,,
220,7,4,0.571428571,,,,,
221,3,2,0.666666667,,,,,
222,5,3,0.6,,,,,
223,4,2,0.5,,,,,
224,9,6,0.666666667,,,,,
225,9,4,0.444444444,,,,,
226,5,2,0.4,,,,,
227,8,2,0.25,,,,,
228,11,7,0.636363636,,,,,
229,11,1,0.090909091,,,,,
230,1,1,1,,,,,
231,7,4,0.571428571,,,,,
232,3,1,0.333333333,,,,,
233,3,2,0.666666667,,,,,
234,5,1,0.2,,,,,
235,8,5,0.625,,,,,
236,3,1,0.333333333,,,,,
237,14,9,0.642857143,,,,,
238,7,2,0.285714286,,,,,
239,7,4,0.571428571,,,,,
240,4,3,0.75,,,,,
241,4,2,0.5,,,,,
242,3,2,0.666666667,,,,,
243,8,4,0.5,,,,,
244,3,2,0.666666667,,,,,
245,10,10,1,,,,,
246,12,11,0.916666667,,,,,
247,5,4,0.8,,,,,
248,3,2,0.666666667,,,,,
249,3,2,0.666666667,,,,,
250,8,7,0.875,,,,,
251,7,7,1,,,,,
252,8,8,1,,,,,
253,2,2,1,,,,,
254,8,7,0.875,,,,,
255,8,3,0.375,,,,,
256,9,9,1,,,,,
257,9,6,0.666666667,,,,,
258,4,4,1,,,,,
259,2,2,1,,,,,
260,7,6,0.857142857,,,,,
261,17,17,1,,,,,
262,14,13,0.928571429,,,,,
263,4,4,1,,,,,
264,10,8,0.8,,,,,
265,4,2,0.5,,,,,
266,9,7,0.777777778,,,,,
267,13,12,0.923076923,,,,,
268,3,2,0.666666667,,,,,
269,5,4,0.8,,,,,
270,6,6,1,,,,,
271,2,2,1,,,,,
272,5,3,0.6,,,,,
273,8,3,0.375,,,,,
274,10,10,1,,,,,
275,10,7,0.7,,,,,
276,9,7,0.777777778,,,,,
277,9,6,0.666666667,,,,,
278,12,9,0.75,,,,,
279,7,5,0.714285714,,,,,
280,5,4,0.8,,,,,
281,10,5,0.5,,,,,
282,10,6,0.6,,,,,
283,10,2,0.2,,,,,
284,11,6,0.545454545,,,,,
285,12,3,0.25,,,,,
286,11,1,0.090909091,,,,,
287,10,5,0.5,,,,,
288,6,0,0,,,,,
289,14,12,0.857142857,,,,,
290,11,7,0.636363636,,,,,
291,7,5,0.714285714,,,,,
292,14,7,0.5,,,,,
293,5,2,0.4,,,,,
294,9,6,0.666666667,,,,,
295,11,8,0.727272727,,,,,
296,13,8,0.615384615,,,,,
297,10,6,0.6,,,,,
298,10,7,0.7,,,,,
299,9,6,0.666666667,,,,,
300,16,13,0.8125,,,,,
301,11,9,0.818181818,,,,,
302,6,2,0.333333333,,,,,
303,8,6,0.75,,,,,
304,10,7,0.7,,,,,
305,7,7,1,,,,,
307,5,1,0.2,,,,,
308,11,5,0.454545455,,,,,
309,7,4,0.571428571,,,,,
310,8,5,0.625,,,,,
311,8,3,0.375,,,,,
312,6,6,1,,,,,
313,6,4,0.666666667,,,,,
314,10,7,0.7,,,,,
315,5,5,1,,,,,
316,4,4,1,,,,,
317,9,8,0.888888889,,,,,
318,4,4,1,,,,,
319,5,5,1,,,,,
320,2,2,1,,,,,
321,2,2,1,,,,,
322,9,7,0.777777778,,,,,
323,4,3,0.75,,,,,
324,7,7,1,,,,,
325,11,11,1,,,,,
326,7,6,0.857142857,,,,,
327,8,8,1,,,,,
328,6,5,0.833333333,,,,,
329,8,5,0.625,,,,,
330,10,10,1,,,,,
331,9,6,0.666666667,,,,,
332,8,8,1,,,,,
333,9,7,0.777777778,,,,,
334,6,6,1,,,,,
335,6,6,1,,,,,
336,9,8,0.888888889,,,,,
337,8,7,0.875,,,,,
338,3,1,0.333333333,,,,,
339,4,4,1,,,,,
340,8,4,0.5,,,,,
341,3,3,1,,,,,
342,6,6,1,,,,,
343,6,2,0.333333333,,,,,
344,10,9,0.9,,,,,
345,8,8,1,,,,,
346,5,4,0.8,,,,,
347,6,6,1,,,,,
348,6,5,0.833333333,,,,,
349,8,6,0.75,,,,,
350,7,7,1,,,,,
351,9,6,0.666666667,,,,,
352,3,1,0.333333333,,,,,
353,11,11,1,,,,,
354,7,6,0.857142857,,,,,
355,9,7,0.777777778,,,,,
356,6,5,0.833333333,,,,,
357,4,4,1,,,,,
358,4,4,1,,,,,
359,0,0,.,,,,,
360,5,4,0.8,,,,,
361,1,1,1,,,,,
362,6,6,1,,,,,
363,4,4,1,,,,,
364,0,0,.,,,,,
365,6,6,1,,,,,
366,3,2,0.666666667,,,,,
367,6,4,0.666666667,,,,,
368,7,6,0.857142857,,,,,
369,4,3,0.75,,,,,
370,5,5,1,,,,,
371,1,1,1,,,,,
372,5,4,0.8,,,,,
373,7,5,0.714285714,,,,,
374,5,5,1,,,,,
375,5,5,1,,,,,
376,6,4,0.666666667,,,,,
377,1,0,0,,,,,
378,5,4,0.8,,,,,
379,4,4,1,,,,,
380,1,1,1,,,,,
381,4,3,0.75,,,,,
382,7,3,0.428571429,,,,,
383,4,4,1,,,,,
384,5,5,1,,,,,
385,2,2,1,,,,,
386,2,2,1,,,,,
387,1,1,1,,,,,
388,2,0,0,,,,,
389,7,7,1,,,,,
390,4,4,1,,,,,
391,6,6,1,,,,,
392,4,1,0.25,,,,,
393,5,5,1,,,,,
394,3,3,1,,,,,
395,2,2,1,,,,,
396,1,1,1,,,,,
397,2,2,1,,,,,
398,2,2,1,,,,,
399,2,2,1,,,,,
400,4,3,0.75,,,,,
401,3,3,1,,,,,
402,2,1,0.5,,,,,
403,3,3,1,,,,,
404,3,3,1,,,,,
405,2,2,1,,,,,
406,4,4,1,,,,,
407,2,2,1,,,,,
408,6,5,0.833333333,,,,,
409,2,2,1,,,,,
410,5,4,0.8,,,,,
411,2,2,1,,,,,
412,3,2,0.666666667,,,,,
413,3,2,0.666666667,,,,,
414,5,5,1,,,,,
415,2,1,0.5,,,,,
416,8,8,1,,,,,
417,3,3,1,,,,,
418,4,4,1,,,,,
419,4,3,0.75,,,,,
420,4,4,1,,,,,
421,3,3,1,,,,,
422,3,2,0.666666667,,,,,
423,3,3,1,,,,,
424,4,4,1,,,,,
425,3,3,1,,,,,
426,4,4,1,,,,,
427,4,4,1,,,,,
428,4,4,1,,,,,
429,5,5,1,,,,,
430,2,2,1,,,,,
431,1,1,1,,,,,
432,4,4,1,,,,,
433,2,1,0.5,,,,,
434,3,3,1,,,,,
435,2,2,1,,,,,
436,3,3,1,,,,,
437,1,1,1,,,,,
438,4,3,0.75,,,,,
439,2,2,1,,,,,
440,4,3,0.75,,,,,
441,4,4,1,,,,,
442,1,1,1,,,,,
443,0,0,.,,,,,
444,4,4,1,,,,,
445,4,4,1,,,,,
446,5,4,0.8,,,,,
447,4,4,1,,,,,
448,1,1,1,,,,,
449,4,4,1,,,,,
450,2,1,0.5,,,,,
451,1,1,1,,,,,
452,2,2,1,,,,,
453,2,2,1,,,,,
454,1,1,1,,,,,
455,5,5,1,,,,,
456,2,2,1,,,,,
457,2,1,0.5,,,,,
458,3,3,1,,,,,
459,3,2,0.666666667,,,,,
460,3,3,1,,,,,
461,3,3,1,,,,,
462,4,4,1,,,,,
463,2,2,1,,,,,
464,3,3,1,,,,,
465,4,3,0.75,,,,,
466,2,2,1,,,,,
467,4,4,1,,,,,
468,0,0,.,,,,,
469,3,3,1,,,,,
470,1,1,1,,,,,
471,3,3,1,,,,,
472,4,4,1,,,,,
473,3,2,0.666666667,,,,,
474,2,2,1,,,,,
475,3,3,1,,,,,
476,5,4,0.8,,,,,
477,8,8,1,,,,,
478,5,4,0.8,,,,,
479,3,2,0.666666667,,,,,
480,2,2,1,,,,,
481,2,2,1,,,,,
482,4,3,0.75,,,,,
483,4,4,1,,,,,
484,4,4,1,,,,,
485,5,5,1,,,,,
486,3,2,0.666666667,,,,,
487,5,5,1,,,,,
488,4,4,1,,,,,
489,2,2,1,,,,,
490,6,6,1,,,,,
491,4,4,1,,,,,
492,2,2,1,,,,,
493,2,2,1,,,,,
494,2,1,0.5,,,,,
495,1,1,1,,,,,
496,3,3,1,,,,,
497,3,3,1,,,,,
498,3,3,1,,,,,
500,4,4,1,,,,,
501,1,1,1,,,,,
502,3,3,1,,,,,
503,3,3,1,,,,,
504,6,3,0.5,,,,,
505,8,6,0.75,,,,,
506,7,7,1,,,,,
507,6,6,1,,,,,
508,3,3,1,,,,,
509,3,3,1,,,,,
510,1,1,1,,,,,
511,4,4,1,,,,,
512,4,4,1,,,,,
513,6,4,0.666666667,,,,,
514,3,2,0.666666667,,,,,
515,6,4,0.666666667,,,,,
516,6,6,1,,,,,
517,2,1,0.5,,,,,
518,8,8,1,,,,,
519,5,5,1,,,,,
520,2,2,1,,,,,
521,2,2,1,,,,,
522,3,3,1,,,,,
523,2,2,1,,,,,
524,4,4,1,,,,,
525,3,3,1,,,,,
526,3,3,1,,,,,
527,1,1,1,,,,,
528,3,3,1,,,,,
529,6,6,1,,,,,
530,4,4,1,,,,,
531,2,2,1,,,,,
532,0,0,.,,,,,
533,1,1,1,,,,,
534,1,1,1,,,,,
535,4,3,0.75,,,,,
536,4,4,1,,,,,
537,3,3,1,,,,,
538,0,0,.,,,,,
539,1,1,1,,,,,
540,1,1,1,,,,,
541,1,1,1,,,,,
542,2,2,1,,,,,
543,9,9,1,,,,,
544,2,1,0.5,,,,,
545,6,6,1,,,,,
546,4,4,1,,,,,
547,7,7,1,,,,,
548,5,5,1,,,,,
549,1,0,0,,,,,
550,0,0,.,,,,,
551,3,3,1,,,,,
552,1,1,1,,,,,
553,4,3,0.75,,,,,
554,3,2,0.666666667,,,,,
555,4,4,1,,,,,
556,2,1,0.5,,,,,
557,5,4,0.8,,,,,
558,2,1,0.5,,,,,
559,6,6,1,,,,,
560,1,1,1,,,,,
561,5,5,1,,,,,
562,2,2,1,,,,,
563,7,7,1,,,,,
564,6,6,1,,,,,
565,2,1,0.5,,,,,
566,3,3,1,,,,,
567,4,4,1,,,,,
568,4,3,0.75,,,,,
569,4,4,1,,,,,
570,8,8,1,,,,,
571,6,6,1,,,,,
572,1,1,1,,,,,
573,4,3,0.75,,,,,
574,3,3,1,,,,,
575,1,1,1,,,,,
576,5,5,1,,,,,
577,1,1,1,,,,,
578,2,1,0.5,,,,,
579,4,4,1,,,,,
580,2,2,1,,,,,
581,4,3,0.75,,,,,
582,5,5,1,,,,,
583,2,1,0.5,,,,,
584,1,1,1,,,,,
585,1,1,1,,,,,
586,2,2,1,,,,,
587,3,3,1,,,,,
588,5,5,1,,,,,
589,7,6,0.857142857,,,,,
590,3,3,1,,,,,
591,5,5,1,,,,,
592,4,4,1,,,,,
593,9,9,1,,,,,
594,6,6,1,,,,,
595,4,4,1,,,,,
596,2,2,1,,,,,
597,6,6,1,,,,,
598,2,2,1,,,,,
599,2,2,1,,,,,
600,2,2,1,,,,,
601,3,3,1,,,,,
602,3,3,1,,,,,
603,5,5,1,,,,,
604,2,2,1,,,,,
605,6,6,1,,,,,
606,4,4,1,,,,,
607,5,5,1,,,,,
608,3,3,1,,,,,
609,2,2,1,,,,,
610,4,3,0.75,,,,,
611,2,2,1,,,,,
612,1,1,1,,,,,
613,3,3,1,,,,,
614,3,3,1,,,,,
615,3,3,1,,,,,
616,4,3,0.75,,,,,
617,3,3,1,,,,,
618,4,3,0.75,,,,,
619,5,5,1,,,,,
620,2,2,1,,,,,
621,6,6,1,,,,,
622,5,5,1,,,,,
623,5,5,1,,,,,
624,1,1,1,,,,,
625,7,6,0.857142857,,,,,
626,1,1,1,,,,,
627,1,1,1,,,,,
628,0,0,.,,,,,
629,3,3,1,,,,,
630,1,0,0,,,,,
631,1,1,1,,,,,
632,3,3,1,,,,,
633,3,3,1,,,,,
634,3,3,1,,,,,
635,3,3,1,,,,,
636,4,3,0.75,,,,,
637,5,4,0.8,,,,,
638,2,2,1,,,,,
639,1,1,1,,,,,
640,4,3,0.75,,,,,
641,3,3,1,,,,,
642,2,2,1,,,,,
643,1,1,1,,,,,
644,3,3,1,,,,,
645,0,0,.,,,,,
646,3,3,1,,,,,
647,2,2,1,,,,,
648,5,5,1,,,,,
649,2,2,1,,,,,
650,3,3,1,,,,,
651,0,0,.,,,,,
652,7,6,0.857142857,,,,,
653,1,1,1,,,,,
654,1,0,0,,,,,
655,2,1,0.5,,,,,
656,2,2,1,,,,,
657,5,5,1,,,,,
658,2,2,1,,,,,
659,1,1,1,,,,,
661,8,8,1,,,,,
662,1,1,1,,,,,
663,3,3,1,,,,,
664,2,2,1,,,,,
665,3,3,1,,,,,
666,2,2,1,,,,,
667,3,3,1,,,,,
668,3,3,1,,,,,
669,4,4,1,,,,,
670,3,3,1,,,,,
671,2,2,1,,,,,
672,1,1,1,,,,,
673,2,1,0.5,,,,,
674,2,2,1,,,,,
675,4,4,1,,,,,
676,4,4,1,,,,,
677,4,4,1,,,,,
678,2,2,1,,,,,
679,3,3,1,,,,,
680,2,2,1,,,,,
681,0,0,.,,,,,
682,7,6,0.857142857,,,,,
683,2,2,1,,,,,
684,2,2,1,,,,,
685,5,5,1,,,,,
686,5,5,1,,,,,
687,1,1,1,,,,,
688,5,5,1,,,,,
689,6,6,1,,,,,
690,2,2,1,,,,,
691,3,3,1,,,,,
692,4,4,1,,,,,
693,4,4,1,,,,,
694,4,4,1,,,,,
695,3,3,1,,,,,
696,2,2,1,,,,,
697,1,1,1,,,,,
698,4,4,1,,,,,
699,1,1,1,,,,,
700,5,4,0.8,,,,,
701,2,2,1,,,,,
702,4,4,1,,,,,
703,4,3,0.75,,,,,
704,4,4,1,,,,,
705,4,4,1,,,,,
706,3,3,1,,,,,
707,2,1,0.5,,,,,
708,2,2,1,,,,,
709,4,4,1,,,,,
710,3,3,1,,,,,
711,4,2,0.5,,,,,
712,1,1,1,,,,,
713,4,4,1,,,,,
714,0,0,.,,,,,
715,5,5,1,,,,,
716,2,2,1,,,,,
717,3,3,1,,,,,
718,8,7,0.875,,,,,
719,2,2,1,,,,,
720,2,2,1,,,,,
721,6,6,1,,,,,
722,1,1,1,,,,,
723,3,3,1,,,,,
724,3,2,0.666666667,,,,,
725,1,1,1,,,,,
726,3,3,1,,,,,
727,3,3,1,,,,,
728,3,3,1,,,,,
729,2,2,1,,,,,
730,2,2,1,,,,,
731,3,3,1,,,,,
732,4,4,1,,,,,
733,4,4,1,,,,,
734,4,4,1,,,,,
735,3,2,0.666666667,,,,,
736,1,1,1,,,,,
737,4,4,1,,,,,
738,4,4,1,,,,,
739,4,4,1,,,,,
740,4,4,1,,,,,
741,0,0,.,,,,,
742,1,1,1,,,,,
743,3,3,1,,,,,
744,3,3,1,,,,,
745,5,5,1,,,,,
746,4,4,1,,,,,
747,0,0,.,,,,,
748,4,4,1,,,,,
749,5,4,0.8,,,,,
750,3,3,1,,,,,
751,3,3,1,,,,,
752,3,3,1,,,,,
753,5,5,1,,,,,
754,2,1,0.5,,,,,
755,3,3,1,,,,,
756,3,3,1,,,,,
757,0,0,.,,,,,
758,3,3,1,,,,,
759,4,4,1,,,,,
760,6,6,1,,,,,
761,4,4,1,,,,,
762,4,4,1,,,,,
763,4,4,1,,,,,
764,3,3,1,,,,,
765,3,3,1,,,,,
766,2,1,0.5,,,,,
767,3,3,1,,,,,
768,4,3,0.75,,,,,
769,2,2,1,,,,,
770,5,5,1,,,,,
771,3,3,1,,,,,
772,2,2,1,,,,,
773,3,3,1,,,,,
774,1,1,1,,,,,
775,5,4,0.8,,,,,
776,2,2,1,,,,,
777,5,5,1,,,,,
778,6,6,1,,,,,
779,14,14,1,,,,,
780,9,8,0.888888889,,,,,
781,6,6,1,,,,,
782,11,10,0.909090909,,,,,
783,6,6,1,,,,,
784,10,10,1,,,,,
785,3,3,1,,,,,
786,3,3,1,,,,,
787,6,6,1,,,,,
788,3,3,1,,,,,
789,5,5,1,,,,,
790,4,4,1,,,,,
791,6,6,1,,,,,
792,8,8,1,,,,,
793,10,10,1,,,,,
794,10,10,1,,,,,
795,4,4,1,,,,,
796,3,3,1,,,,,
797,9,8,0.888888889,,,,,
798,10,9,0.9,,,,,
799,10,10,1,,,,,
800,3,3,1,,,,,
801,13,13,1,,,,,
802,7,7,1,,,,,
803,1,1,1,,,,,
804,7,7,1,,,,,
805,10,10,1,,,,,
806,1,1,1,,,,,
807,11,10,0.909090909,,,,,
808,11,11,1,,,,,
809,3,3,1,,,,,
810,6,6,1,,,,,
811,6,6,1,,,,,
812,10,8,0.8,,,,,
813,5,3,0.6,,,,,
814,15,9,0.6,,,,,
815,15,13,0.866666667,,,,,
816,12,8,0.666666667,,,,,
817,9,8,0.888888889,,,,,
818,12,12,1,,,,,
819,10,7,0.7,,,,,
820,16,12,0.75,,,,,
821,10,10,1,,,,,
822,13,9,0.692307692,,,,,
823,13,10,0.769230769,,,,,
824,14,12,0.857142857,,,,,
825,9,8,0.888888889,,,,,
826,8,8,1,,,,,
827,12,12,1,,,,,
828,11,10,0.909090909,,,,,
829,12,12,1,,,,,
830,7,7,1,,,,,
831,13,10,0.769230769,,,,,
832,10,6,0.6,,,,,
833,9,9,1,,,,,
834,10,10,1,,,,,
835,6,5,0.833333333,,,,,
836,8,8,1,,,,,
837,10,9,0.9,,,,,
838,5,5,1,,,,,
839,2,2,1,,,,,
840,6,6,1,,,,,
841,11,10,0.909090909,,,,,
842,5,5,1,,,,,
843,7,7,1,,,,,
844,9,8,0.888888889,,,,,
845,6,6,1,,,,,
846,11,11,1,,,,,
847,9,9,1,,,,,
848,1,1,1,,,,,
849,4,4,1,,,,,
850,6,6,1,,,,,
851,3,3,1,,,,,
852,5,5,1,,,,,
853,9,9,1,,,,,
854,5,5,1,,,,,
855,5,4,0.8,,,,,
856,4,3,0.75,,,,,
857,12,8,0.666666667,,,,,
858,11,11,1,,,,,
859,11,11,1,,,,,
860,2,2,1,,,,,
861,10,9,0.9,,,,,
862,9,7,0.777777778,,,,,
863,3,3,1,,,,,
864,9,8,0.888888889,,,,,
865,7,7,1,,,,,
866,9,8,0.888888889,,,,,
867,5,4,0.8,,,,,
868,10,3,0.3,,,,,
869,12,11,0.916666667,,,,,
870,8,8,1,,,,,
871,7,6,0.857142857,,,,,
872,2,2,1,,,,,
873,2,2,1,,,,,
874,7,3,0.428571429,,,,,
875,8,7,0.875,,,,,
876,7,5,0.714285714,,,,,
877,12,11,0.916666667,,,,,
878,10,5,0.5,,,,,
879,14,14,1,,,,,
880,4,4,1,,,,,
881,4,4,1,,,,,
882,4,4,1,,,,,
883,3,3,1,,,,,
884,4,3,0.75,,,,,
885,5,4,0.8,,,,,
886,0,0,.,,,,,
887,1,1,1,,,,,
888,4,4,1,,,,,
889,2,2,1,,,,,
890,3,3,1,,,,,
891,3,3,1,,,,,
892,6,6,1,,,,,
893,5,4,0.8,,,,,
894,5,5,1,,,,,
895,3,3,1,,,,,
896,3,3,1,,,,,
897,6,6,1,,,,,
898,1,1,1,,,,,
899,4,4,1,,,,,
900,3,3,1,,,,,
901,4,4,1,,,,,
902,12,11,0.916666667,,,,,
903,9,9,1,,,,,
904,5,5,1,,,,,
905,4,4,1,,,,,
906,3,3,1,,,,,
907,4,3,0.75,,,,,
908,3,3,1,,,,,
909,7,7,1,,,,,
910,5,5,1,,,,,
911,3,3,1,,,,,
912,3,3,1,,,,,
913,1,1,1,,,,,
914,3,3,1,,,,,
915,8,8,1,,,,,
916,4,4,1,,,,,
917,0,0,.,,,,,
918,3,3,1,,,,,
919,5,5,1,,,,,
920,4,4,1,,,,,
921,6,5,0.833333333,,,,,
922,3,3,1,,,,,
923,6,6,1,,,,,
924,3,3,1,,,,,
925,7,7,1,,,,,
926,1,1,1,,,,,
927,3,3,1,,,,,
928,3,3,1,,,,,
929,4,4,1,,,,,
930,3,2,0.666666667,,,,,
931,7,7,1,,,,,
932,4,4,1,,,,,
933,5,5,1,,,,,
934,3,3,1,,,,,
935,6,6,1,,,,,
936,7,7,1,,,,,
937,7,7,1,,,,,
938,2,2,1,,,,,
939,3,3,1,,,,,
940,8,8,1,,,,,
941,4,4,1,,,,,
942,6,6,1,,,,,
943,4,4,1,,,,,
944,5,4,0.8,,,,,
945,9,6,0.666666667,,,,,
946,4,3,0.75,,,,,
947,5,4,0.8,,,,,
948,6,6,1,,,,,
949,1,1,1,,,,,
950,4,4,1,,,,,
951,5,4,0.8,,,,,
952,3,3,1,,,,,
953,5,4,0.8,,,,,
954,2,2,1,,,,,
955,4,4,1,,,,,
956,2,2,1,,,,,
957,3,3,1,,,,,
958,2,2,1,,,,,
959,7,7,1,,,,,
960,4,3,0.75,,,,,
961,8,8,1,,,,,
962,3,3,1,,,,,
963,9,8,0.888888889,,,,,
964,7,6,0.857142857,,,,,
965,8,7,0.875,,,,,
966,4,3,0.75,,,,,
967,1,1,1,,,,,
