v001,currentlymarried,fp_cruse_mod,
1121,13,10,0.769230769
1122,13,12,0.923076923
1123,9,7,0.777777778
1124,14,11,0.785714286
1125,15,11,0.733333333
1126,12,9,0.75
1127,14,10,0.714285714
1128,15,13,0.866666667
1129,9,5,0.555555556
1130,13,11,0.846153846
1131,11,7,0.636363636
1132,18,15,0.833333333
1133,15,7,0.466666667
1134,12,9,0.75
1135,13,10,0.769230769
1136,19,17,0.894736842
1137,13,10,0.769230769
1138,15,11,0.733333333
1139,9,1,0.111111111
1140,5,2,0.4
1141,10,1,0.1
1142,15,8,0.533333333
1143,12,5,0.416666667
1144,16,9,0.5625
1145,3,1,0.333333333
1146,10,1,0.1
1147,12,3,0.25
1148,10,5,0.5
1149,13,3,0.230769231
1150,11,4,0.363636364
1151,13,4,0.307692308
1152,5,0,0
1153,16,10,0.625
1154,12,8,0.666666667
1155,16,0,0
1156,5,0,0
1157,15,1,0.066666667
1158,6,1,0.166666667
1159,9,1,0.111111111
1160,10,0,0
1161,14,6,0.428571429
1162,9,4,0.444444444
1163,8,6,0.75
1164,9,4,0.444444444
1165,9,5,0.555555556
1166,12,5,0.416666667
1167,14,8,0.571428571
1168,11,4,0.363636364
1169,11,3,0.272727273
1170,13,6,0.461538462
1171,16,10,0.625
1172,16,9,0.5625
1173,8,3,0.375
1174,14,8,0.571428571
1175,13,7,0.538461538
1176,13,7,0.538461538
1177,12,8,0.666666667
1178,9,6,0.666666667
1179,13,8,0.615384615
1180,9,4,0.444444444
1181,15,7,0.466666667
1182,12,7,0.583333333
1183,14,11,0.785714286
1184,12,9,0.75
1185,10,7,0.7
1186,8,3,0.375
1187,10,8,0.8
1188,10,7,0.7
1189,12,4,0.333333333
1190,14,8,0.571428571
1191,14,4,0.285714286
1192,12,9,0.75
1193,6,2,0.333333333
1194,13,9,0.692307692
1195,19,11,0.578947368
1196,12,7,0.583333333
1197,9,1,0.111111111
1198,13,5,0.384615385
1199,10,6,0.6
1200,6,4,0.666666667
1201,13,9,0.692307692
1202,5,3,0.6
1203,12,6,0.5
1204,14,8,0.571428571
1205,9,7,0.777777778
1206,11,2,0.181818182
1207,0,0,.
1208,9,5,0.555555556
1209,8,5,0.625
1210,11,4,0.363636364
1212,12,1,0.083333333
1213,16,10,0.625
1214,13,6,0.461538462
1215,10,4,0.4
1216,9,4,0.444444444
1217,15,6,0.4
1218,10,5,0.5
1219,5,2,0.4
1220,12,1,0.083333333
1221,9,3,0.333333333
1222,9,7,0.777777778
1223,13,9,0.692307692
1224,10,5,0.5
1225,15,6,0.4
1226,17,6,0.352941176
1227,13,5,0.384615385
1228,14,11,0.785714286
1229,14,6,0.428571429
1230,9,3,0.333333333
1231,11,5,0.454545455
1232,13,5,0.384615385
1233,13,10,0.769230769
1234,13,10,0.769230769
1235,13,6,0.461538462
1236,9,5,0.555555556
1237,13,8,0.615384615
1238,14,9,0.642857143
1239,13,7,0.538461538
1240,9,5,0.555555556
1241,9,4,0.444444444
1242,13,8,0.615384615
1243,10,7,0.7
1244,12,6,0.5
1245,11,9,0.818181818
1246,13,9,0.692307692
1247,10,6,0.6
1248,9,8,0.888888889
1249,6,4,0.666666667
1250,13,10,0.769230769
1251,8,6,0.75
1252,10,6,0.6
1253,11,9,0.818181818
1254,14,9,0.642857143
1255,14,10,0.714285714
1256,11,9,0.818181818
1257,7,6,0.857142857
