Definition: ," Among women with a live birth or a stillbirth in the last 2 years, the percentage that had a urine sample taken.",,,,,,,
Denominator, Women who have had a live birth or a stillbirth in the 2 years preceding the survey who received antenatal care for their last birth (m80 = 1 or 3 & m2n = 0 & p19 < 24),,,,,,,
,,,,,,,,
Average,0.951048488,,National weighted average,,95.9,,DHS report,96
,,,,,,,,
,,,,,,,,
,,,,,,,,
v001,birthsw,urinesample,,,,,,
1,2,2,1,,,,,
2,1,1,1,,,,,
3,3,3,1,,,,,
4,4,4,1,,,,,
5,5,5,1,,,,,
6,3,3,1,,,,,
7,1,1,1,,,,,
8,3,3,1,,,,,
9,2,2,1,,,,,
10,2,2,1,,,,,
11,6,6,1,,,,,
12,5,5,1,,,,,
13,6,6,1,,,,,
14,2,2,1,,,,,
15,4,4,1,,,,,
16,3,3,1,,,,,
17,3,3,1,,,,,
18,5,5,1,,,,,
19,5,5,1,,,,,
20,2,2,1,,,,,
21,5,5,1,,,,,
22,2,2,1,,,,,
23,6,6,1,,,,,
24,2,2,1,,,,,
25,3,3,1,,,,,
26,1,1,1,,,,,
27,4,4,1,,,,,
28,9,9,1,,,,,
29,3,3,1,,,,,
30,1,1,1,,,,,
31,1,1,1,,,,,
32,4,4,1,,,,,
33,6,6,1,,,,,
34,2,2,1,,,,,
35,3,3,1,,,,,
36,8,8,1,,,,,
37,4,4,1,,,,,
38,3,3,1,,,,,
39,2,2,1,,,,,
40,5,5,1,,,,,
41,6,6,1,,,,,
42,7,7,1,,,,,
43,8,8,1,,,,,
44,7,7,1,,,,,
45,2,2,1,,,,,
46,6,6,1,,,,,
47,9,9,1,,,,,
48,11,10,0.909090909,,,,,
49,2,2,1,,,,,
50,7,7,1,,,,,
51,1,1,1,,,,,
52,4,4,1,,,,,
53,5,4,0.8,,,,,
54,7,7,1,,,,,
55,1,1,1,,,,,
56,3,3,1,,,,,
57,2,2,1,,,,,
58,4,4,1,,,,,
59,2,2,1,,,,,
60,2,1,0.5,,,,,
61,1,1,1,,,,,
62,4,4,1,,,,,
63,3,3,1,,,,,
64,4,4,1,,,,,
65,5,5,1,,,,,
66,2,2,1,,,,,
67,1,1,1,,,,,
68,3,3,1,,,,,
69,10,10,1,,,,,
70,3,3,1,,,,,
71,3,3,1,,,,,
72,10,10,1,,,,,
73,4,4,1,,,,,
74,6,5,0.833333333,,,,,
75,6,5,0.833333333,,,,,
76,7,7,1,,,,,
77,5,5,1,,,,,
78,2,2,1,,,,,
79,3,3,1,,,,,
80,2,2,1,,,,,
81,2,2,1,,,,,
82,6,6,1,,,,,
83,3,3,1,,,,,
84,6,6,1,,,,,
85,6,6,1,,,,,
86,1,1,1,,,,,
87,3,3,1,,,,,
88,4,4,1,,,,,
89,7,7,1,,,,,
90,2,2,1,,,,,
91,4,4,1,,,,,
92,5,5,1,,,,,
93,3,3,1,,,,,
94,2,2,1,,,,,
95,1,1,1,,,,,
96,2,2,1,,,,,
97,11,11,1,,,,,
98,13,12,0.923076923,,,,,
99,5,4,0.8,,,,,
100,3,3,1,,,,,
101,3,3,1,,,,,
102,1,1,1,,,,,
103,0,0,.,,,,,
104,7,7,1,,,,,
105,3,3,1,,,,,
